x,y,z
-29,48,26
-45,51,24
-27,43,17
-22,42,18
-23,55,18
-23,65,14
-27,71,14
-38,73,12
-38,69,8
-16,58,-3
-7,59,-2
-27,70,1
-23,66,-1
-26,58,4
-25,57,4
-26,60,4
-27,58,5
-28,48,6
-28,46,6
-28,52,8
-28,57,11
-24,54,14
-20,61,5
-17,72,1
-18,92,0
-20,86,6
-17,55,20
-14,49,15
-15,45,17
-18,49,23
-21,63,22
-20,67,21
-16,63,18
-15,60,18
-16,60,17
-15,60,17
-13,57,15
-14,57,14
-17,52,18
-18,47,19
-19,44,22
-20,49,23
-21,54,23
-24,66,19
-28,71,17
-34,80,19
-32,66,19
-27,51,14
-25,59,10
-25,68,3
-25,72,-1
-23,82,-4
-21,80,-3
-17,68,1
-16,66,0
-17,60,-2
-18,59,-1
-20,59,-1
-20,58,-1
-21,59,2
-21,55,7
-21,52,10
-20,52,14
-20,53,14
-19,54,16
-17,58,16
-17,73,15
-17,79,16
-16,74,14
-16,73,16
-18,62,18
-18,56,17
-15,60,13
-14,65,11
-16,65,9
-18,62,11
-19,61,11
-21,57,11
-21,56,11
-21,55,10
-21,55,10
-22,56,14
-23,55,15
-24,53,19
-25,53,21
-26,55,24
-26,55,24
-26,58,20
-26,64,17
-31,72,12
-29,78,11
-23,63,12
-22,62,12
-23,64,9
-22,64,6
-22,69,1
-26,77,0
-27,81,-2
-19,72,-2
-16,67,-2
-12,61,-1
-13,57,1
-16,53,5
-18,50,7
-16,46,11
-14,46,12
-14,51,13
-12,54,14
-9,61,15
-9,65,15
-11,76,14
-14,84,16
-16,85,19
-14,69,23
-12,59,22
-10,55,17
-12,60,15
-17,66,12
-19,70,14
-20,63,13
-21,59,16
-22,60,14
-23,58,13
-22,54,17
-20,48,16
-20,46,19
-19,48,20
-19,45,19
-19,46,19
-23,56,19
-24,62,17
-25,80,12
-24,86,10
-24,75,11
-25,63,12
-26,63,7
-17,71,-2
-20,73,0
-19,71,-3
-18,67,-2
-15,64,-1
-14,67,-2
-13,62,-4
-13,61,-3
-13,63,-1
-12,55,2
-16,45,6
-16,48,8
-15,60,6
-17,74,11
-17,76,14
-12,88,13
-8,91,14
-3,58,22
-1,51,20
-1,57,14
-5,61,12
-14,62,11
-17,64,11
-21,63,14
-22,62,14
-19,60,14
-18,59,12
-18,58,14
-18,58,15
-17,54,16
-18,52,16
-19,50,18
-21,54,19
-22,59,19
-23,68,18
-23,72,15
-30,79,8
-34,83,8
-32,71,4
-22,63,0
-7,63,-4
-3,66,-6
-7,60,-2
-15,64,-1
-24,71,2
-25,65,5
-22,65,5
-20,67,2
-18,59,0
-18,60,0
-18,60,2
-16,56,4
-16,54,6
-15,56,6
-13,56,7
-12,54,9
-14,57,10
-16,71,9
-16,80,8
-18,73,9
-20,68,13
-18,65,14
-19,63,15
-15,69,16
-13,66,21
-11,60,22
-11,57,20
-11,58,19
-11,59,19
-11,57,18
-14,54,20
-15,53,23
-14,51,24
-13,51,25
-13,58,24
-12,58,24
-13,56,24
-16,59,24
-14,58,19
-19,60,20
-23,66,19
-26,64,18
-28,62,16
-29,61,15
-29,61,12
-31,65,10
-34,76,4
-27,76,2
-26,70,3
-27,70,2
-24,70,2
-22,65,3
-24,62,4
-27,55,12
-24,52,17
-19,52,20
-15,53,21
-9,49,26
-8,47,28
-11,52,30
-12,52,30
-15,63,26
-15,64,26
-15,59,24
-15,60,20
-17,59,17
-20,63,14
-21,67,12
