,x,y,z
349,-20,54,11
350,-22,55,11
351,-11,63,4
352,-11,68,-1
353,-16,69,1
354,-13,61,0
355,-16,53,0
356,-16,51,0
357,-16,51,-1
358,-15,52,-2
359,-14,50,-1
360,-13,51,-1
361,-13,55,1
362,-13,58,1
363,-15,65,0
364,-15,70,0
365,-15,77,1
366,-14,81,1
367,-14,83,2
368,-14,83,8
369,-14,72,12
370,-18,60,15
371,-18,58,16
372,-20,53,20
373,-20,57,19
374,-11,71,14
375,-5,69,12
376,-8,58,14
377,-10,59,12
378,-11,59,10
379,-12,58,9
380,-12,55,9
381,-12,53,10
382,-10,48,12
383,-10,47,12
384,-10,49,13
385,-11,42,12
386,-12,46,11
387,-16,59,9
388,-18,64,8
389,-30,90,18
390,-42,106,13
391,-43,74,13
392,-37,64,8
393,-25,63,9
394,-16,56,6
395,-16,57,4
396,-19,62,4
397,-11,72,0
398,-14,70,-1
399,-16,56,1
400,-17,54,0
401,-18,52,1
402,-17,52,0
403,-15,52,-1
404,-16,53,0
405,-16,56,-1
406,-17,63,-1
407,-17,65,-2
408,-15,64,-2
409,-14,62,-2
410,-11,65,-3
411,-12,68,-2
412,-17,87,-6
413,-17,92,-6
414,-17,69,7
415,-15,61,11
416,-12,50,42
417,-11,46,55
418,-55,72,45
419,-29,72,24
420,-21,72,9
421,-15,72,4
422,-5,53,5
423,-13,62,1
424,-15,59,1
425,-14,54,0
426,-14,53,1
427,-9,50,8
428,-5,52,15
429,1,49,3
430,-4,42,-1
431,-20,41,27
432,-27,48,30
433,-32,62,18
434,-33,75,12
435,-37,99,5
436,-35,96,7
437,-22,73,6
438,-8,51,3
439,-18,39,4
440,-37,57,-3
441,-43,60,-6
442,-52,56,-12
443,-51,58,-19
444,-29,65,-29
445,-27,65,-28
446,-24,56,-18
447,-22,52,-18
448,-17,53,-6
449,-13,52,-3
450,-17,49,2
451,-20,49,4
452,-17,56,-2
453,-16,64,-4
454,-19,79,-3
455,-20,86,-2
456,-16,89,-1
457,-14,80,5
458,-14,62,19
459,-15,45,27
460,-9,44,25
461,-6,63,22
462,-5,72,21
463,-10,73,18
464,-12,66,16
465,-15,61,10
466,-18,61,8
467,-18,57,12
468,-11,55,15
469,-8,47,8
470,-14,45,9
471,-24,49,8
472,-28,56,8
473,-31,67,10
474,-30,60,9
475,-29,54,7
476,-29,72,1
477,-29,81,-2
478,-26,67,1
479,-29,55,4
480,-32,62,4
481,-34,67,3
482,-37,75,-1
483,-35,84,-5
484,-23,86,-15
485,-13,75,-15
486,-7,64,-4
487,-10,65,-3
488,-11,61,2
489,-11,58,3
490,-10,50,1
491,-10,47,3
492,-10,45,4
493,-9,48,3
494,-11,57,4
495,-15,67,6
496,-15,76,7
497,-13,90,14
498,-7,88,15
499,4,82,13
500,7,76,16
501,-2,70,12
502,-11,64,12
503,-24,60,11
504,-26,62,10
505,-19,71,10
506,-16,70,7
