x,y,z
-17,56,19
-17,58,20
-17,64,21
-18,64,22
-21,60,24
-22,58,25
-25,56,29
-27,63,33
-28,76,37
-27,110,36
-19,101,21
-11,76,8
-17,86,10
-13,79,7
-11,69,6
-13,57,8
-17,57,8
-28,63,8
-33,66,8
-32,66,5
-27,62,2
-16,54,-2
-13,53,-3
-14,51,1
-16,50,3
-18,48,7
-17,51,14
-13,58,13
-8,75,6
-8,76,7
-14,72,23
-18,76,28
-22,70,33
-22,65,31
-15,54,22
-8,54,17
0,63,17
-1,65,17
-9,65,17
-13,63,17
-21,56,20
-25,56,24
-27,54,26
-25,53,26
-22,53,26
-18,52,27
-16,54,26
-17,51,24
-20,58,25
-31,106,40
-34,128,31
-29,94,10
-21,84,8
-9,89,10
-6,76,7
-13,59,5
-16,58,4
-32,57,9
-39,57,10
-36,51,8
-34,45,9
-29,35,9
-22,25,11
-22,22,14
-22,22,19
-21,23,18
-23,27,20
-27,31,23
-30,44,31
-27,48,29
-11,62,12
-8,75,11
-10,77,22
-11,82,30
-23,101,36
-24,94,33
-18,62,20
-12,49,17
-2,50,13
-3,55,12
-11,57,13
-17,58,14
-26,56,18
-27,51,23
-26,50,25
-23,50,26
-22,50,26
-20,52,28
-19,54,26
-22,61,25
-28,73,29
-33,113,32
-27,103,23
-14,73,13
-14,77,14
-17,73,12
-17,63,11
-20,51,10
-24,51,11
-31,52,12
-37,54,13
-35,53,12
-28,50,10
-25,49,9
-22,44,11
-22,42,13
-20,43,16
-19,42,17
-18,42,21
-18,44,22
-16,52,17
-15,62,13
-14,73,17
-15,70,22
-17,82,29
-20,82,29
-19,68,25
-15,59,22
-7,51,17
-8,53,16
-11,54,16
-18,58,18
-21,59,20
-22,56,23
-21,54,23
-18,52,22
-17,52,22
-17,53,23
-18,54,23
-19,55,23
-19,55,23
-22,56,25
-23,63,27
-32,98,37
-32,110,32
-19,78,14
-16,73,17
-15,78,17
-17,65,13
-19,59,12
-21,56,12
-22,55,13
-24,55,11
-25,55,10
-24,51,7
-22,49,5
-19,47,4
-18,46,5
-18,46,7
-19,47,9
-20,50,12
-17,58,16
-14,64,13
-10,75,11
-9,83,14
-14,73,24
-17,76,28
-20,70,30
