x,y,z
-18,60,5
-18,50,11
-17,47,13
-18,50,15
-19,59,11
-19,75,10
-19,93,12
-19,83,14
-16,61,12
-14,52,8
-12,45,5
-14,49,6
-23,63,9
-28,67,11
-29,66,13
-25,63,14
-13,58,14
-10,61,14
-11,65,15
-12,66,17
-12,64,20
-12,62,20
-10,73,16
-7,91,15
-10,78,13
-22,88,20
-25,79,20
-20,56,11
-18,47,13
-5,47,10
-8,51,9
-18,52,19
-15,47,32
-18,47,28
-16,46,22
-13,47,21
-15,48,22
-17,50,20
-18,50,21
-23,53,20
-28,52,9
-35,57,8
-26,65,16
-20,77,18
-17,109,30
-18,99,33
-19,69,21
-16,56,16
-16,47,9
-16,50,7
-20,64,11
-24,66,16
-23,61,22
-19,58,17
-15,59,7
-14,61,11
-12,64,14
-17,64,15
-18,63,15
-18,59,11
-19,60,10
-20,62,9
-20,62,10
-17,59,12
-15,57,14
-11,70,11
-12,91,11
-17,81,19
-16,71,22
-11,51,18
-9,45,13
-12,56,10
-17,61,21
-16,54,23
-19,46,24
-12,46,29
-15,55,25
-19,58,22
-29,60,11
-28,59,10
-23,54,12
-20,54,15
-13,55,18
-12,56,19
-19,63,21
-22,65,21
-26,70,20
-26,70,21
-26,78,21
-29,84,26
-25,73,24
-23,71,19
-18,62,15
-15,53,13
-16,57,13
-24,69,17
-25,70,19
-18,61,17
-15,57,14
-9,57,10
-9,59,10
-12,59,11
-13,60,12
-16,59,11
-16,59,10
-16,65,9
-16,69,8
-15,68,9
-14,64,11
-12,70,8
-16,98,14
-15,80,20
-11,52,21
-9,40,17
-11,49,11
-13,60,14
-18,57,24
-19,52,25
-20,47,24
-13,48,30
-7,64,35
-19,68,18
-41,66,5
-33,64,8
-23,59,9
-10,56,18
-7,55,22
-8,55,24
-12,57,23
-20,62,24
-23,63,25
-24,65,23
-23,69,24
-20,73,28
-19,77,28
-20,87,33
-19,79,26
-16,71,13
-16,69,13
-16,57,14
-18,57,14
-24,67,11
-27,72,11
-20,65,11
-15,57,7
-12,55,6
-10,57,6
-12,57,7
-14,56,7
-15,56,7
-15,54,9
-14,55,9
-14,60,6
-12,63,6
-6,68,6
-5,75,6
-7,107,7
-16,94,13
-20,69,25
-18,59,22
-16,63,16
-16,66,18
-11,53,28
6,44,31
-27,45,4
-39,50,3
-37,59,9
-25,67,21
-18,66,27
-16,55,27
-14,53,25
-13,61,19
-14,67,20
-20,70,22
-22,70,24
-22,68,26
-20,66,25
-20,78,23
-25,91,31
-25,66,24
-19,56,11
-17,60,9
-20,77,14
-21,81,18
-18,73,19
-13,66,15
-7,62,10
-6,64,10
-10,67,9
-11,66,8
-15,61,6
-17,58,5
-16,54,4
-15,53,3
-15,49,2
-14,47,3
-14,47,6
-15,52,8
-15,55,12
-14,73,15
-14,94,13
-17,86,16
-14,77,18
-14,71,27
-18,78,31
-7,74,48
-12,69,35
-30,49,7
-25,48,9
-20,52,10
-13,54,17
-8,60,30
-11,60,31
-17,56,23
-18,55,20
-17,59,20
-14,65,23
-12,66,23
-11,65,20
-10,64,19
-12,64,17
-13,64,16
-16,91,21
-29,103,32
-27,63,23
-23,57,11
-12,64,8
-9,71,10
-17,75,16
-14,73,18
-8,61,18
-7,57,15
-7,54,10
-11,54,8
-13,54,7
-14,53,7
-14,52,8
-14,51,10
-14,51,10
-13,57,8
-13,60,9
-14,57,11
-14,59,13
-13,68,15
-12,81,11
-19,117,17
-23,96,25
-21,60,27
-20,58,21
-13,73,16
-11,69,16
-11,52,13
-13,46,8
-12,49,10
-11,54,12
-13,55,12
-19,57,13
-20,55,15
-19,54,16
-21,54,17
-25,56,16
-24,57,17
-22,61,21
-20,61,21
-18,83,24
-21,110,38
-17,54,33
-12,45,19
-13,68,16
-20,93,25
-23,91,28
-17,70,20
-12,64,16
-7,64,15
-8,67,15
-17,69,14
-17,67,13
-17,61,7
-14,54,7
-13,43,6
-13,40,9
-20,36,15
-26,37,17
-33,43,22
-29,44,22
-24,52,19
-21,56,19
-16,68,21
-11,106,20
-18,99,23
-26,60,21
-24,51,18
-21,55,10
-23,63,8
-28,69,10
-26,63,11
-18,53,16
-9,51,20
3,54,33
1,56,33
-32,60,12
-36,61,10
-26,60,14
-20,59,18
-8,58,24
-9,60,18
-12,61,17
-17,64,20
-19,64,22
-19,63,23
-17,62,21
-19,84,21
-23,92,29
-21,65,20
-19,60,12
-16,64,10
-17,69,11
-23,78,18
-23,71,19
-15,55,13
-12,51,10
-12,52,8
-14,56,9
-16,57,10
-17,58,12
-15,55,13
-11,54,11
-9,59,11
-8,70,12
-7,74,12
-4,83,8
-6,101,5
-17,76,5
-21,67,12
-20,54,27
-19,54,23
-15,59,21
-10,58,23
-1,50,21
-10,49,17
-14,41,30
-17,56,35
-32,58,28
-31,57,21
-30,56,18
-22,54,12
-17,54,10
-12,57,11
-11,61,16
-13,67,24
-16,67,23
-23,66,21
-24,63,19
-32,84,23
-40,97,35
-30,59,22
-24,56,15
-17,72,12
-19,90,19
