x,y,z
-39,66,14
-51,94,20
-44,91,22
-28,67,12
-25,59,10
-29,65,8
-32,68,5
-32,71,2
-22,62,1
-21,57,1
-21,52,0
-22,50,-2
-22,47,-3
-22,46,-1
-22,46,1
-22,46,1
-27,47,8
-28,47,11
-25,52,11
-25,57,13
-30,66,20
-34,65,24
-35,62,25
-34,72,22
-41,94,22
-42,85,26
-38,65,19
-38,57,12
-36,59,7
-34,61,3
-33,61,3
-33,49,1
-32,43,0
-28,36,2
-27,36,2
-25,39,7
-25,41,6
-26,43,12
-28,43,16
-35,45,21
-37,45,23
-34,53,25
-32,59,26
-29,64,27
-30,61,17
-36,72,16
-50,100,25
-51,91,19
-40,70,5
-35,64,5
-36,62,7
-36,63,6
-33,63,3
-30,60,3
-25,53,3
-24,51,3
-23,47,1
-23,45,1
-24,43,1
-23,43,1
-23,45,4
-23,47,4
-25,51,7
-24,60,7
-24,65,9
-27,64,14
-31,62,16
-36,70,17
-38,85,18
-37,90,20
-35,76,20
-36,54,20
-37,54,16
-36,63,9
-35,65,10
-32,53,10
-29,46,9
-22,38,11
-20,38,12
-25,38,10
-27,39,10
-26,40,14
-26,41,17
-28,42,18
-34,50,18
-37,59,20
-38,69,23
-36,64,23
-33,57,16
-35,66,13
-54,92,24
-48,81,22
-37,64,10
-34,60,11
-39,66,11
-40,69,10
-35,67,8
-30,61,8
-25,52,7
-27,50,7
-28,51,7
-25,48,5
-24,47,6
-21,48,7
-21,49,8
-23,52,9
-22,53,9
-23,56,9
-24,58,11
-27,56,13
-28,55,12
-30,79,11
-30,90,13
-32,88,11
-34,80,10
-37,67,12
-41,65,13
-36,62,14
-33,49,11
-31,42,10
-32,34,9
-32,34,9
-34,37,7
-33,40,6
-36,44,6
-37,45,8
-36,44,9
-36,45,10
-39,53,16
-39,56,18
-38,61,21
-34,61,21
-27,77,27
-44,93,26
-44,82,18
-47,65,12
-40,58,14
-32,58,8
-27,63,7
-16,71,5
-12,65,0
-10,53,-4
-17,50,-3
-20,50,-1
-23,47,-4
-22,49,2
-20,50,3
-21,56,5
-22,58,4
-3,55,20
-20,64,20
-11,71,25
-25,74,13
-25,74,15
-32,70,16
-34,71,21
-32,97,17
-39,104,14
-42,56,6
-50,43,11
-31,49,17
-29,51,11
-30,59,9
-30,57,7
-27,43,3
-22,39,3
-23,38,4
-22,38,4
-18,39,3
-19,41,4
-20,46,10
-19,48,11
-24,48,15
-29,60,22
-33,69,27
-33,76,32
-30,68,30
-33,65,21
-42,83,20
-45,97,23
-38,84,21
-29,62,13
-28,57,9
-31,65,8
-36,70,7
-32,63,4
-27,55,1
-23,48,-1
-22,47,-1
-24,48,-2
-22,47,-2
-21,46,-2
-20,47,-2
-21,48,-1
-24,53,0
-24,57,1
-26,68,6
-27,70,9
-28,66,12
-28,72,11
-37,94,14
-38,82,19
-41,58,19
-36,55,19
-30,62,12
-28,64,9
-27,61,13
-30,47,10
-31,41,8
-32,36,6
-32,35,6
-32,39,7
-31,41,9
-31,42,11
-34,44,13
-34,46,16
-34,49,17
-35,62,18
-35,67,20
-34,64,17
-34,65,12
-46,99,17
-49,98,19
-42,70,6
-34,61,5
-30,62,6
-31,67,7
-29,65,5
-26,56,4
-24,53,3
-26,51,8
-24,50,8
-23,46,4
-23,47,5
-22,46,5
-22,46,5
-24,46,6
-25,47,5
-27,55,6
-27,59,6
-29,66,9
-30,64,11
-27,69,9
-30,87,7
-34,92,13
-37,67,12
-37,59,13
-40,62,10
-36,64,9
-31,63,11
-30,56,12
-31,42,11
-33,37,11
-34,35,10
-33,37,11
-31,40,13
-31,41,15
-32,45,17
-34,45,18
-35,45,17
-36,47,16
-36,55,16
-33,59,14
-32,58,12
-32,60,5
-38,74,4
-50,88,9
-50,71,5
-37,55,4
-32,58,6
-37,71,7
-37,77,10
-26,66,11
-23,58,10
-26,51,8
-28,52,8
-32,50,8
-29,49,8
-24,45,9
-23,42,9
-23,41,8
-26,43,7
-27,47,6
-28,61,6
-29,67,7
-33,72,7
-36,73,8
-38,75,6
-40,89,4
-36,96,9
-33,81,8
-20,53,12
-18,54,15
-18,59,13
-20,60,11
-23,53,11
-23,47,11
-19,40,13
-20,41,14
-22,42,13
-25,45,11
-27,46,12
-30,48,16
-31,47,17
-32,43,18
-33,45,17
-37,58,17
-38,61,17
-38,61,17
-37,60,16
-44,85,15
-51,97,20
-48,73,10
-44,65,7
-36,61,7
-37,71,6
-34,75,7
-25,65,6
-22,58,5
-22,50,3
-22,48,2
-24,45,-1
-23,44,-2
-23,45,6
-22,45,5
-22,45,3
-24,46,4
-29,54,5
-32,61,4
-35,70,7
-37,68,8
-39,64,12
-36,70,12
-35,91,12
-32,79,14
-32,50,14
-36,53,14
-38,59,10
-33,68,10
-28,67,14
-28,49,11
-28,42,9
-32,37,6
-35,38,5
-32,41,8
-29,42,10
-29,44,13
-32,46,15
-34,48,16
-34,50,16
-33,62,18
-34,66,20
-33,64,20
-34,59,12
-38,72,10
-50,98,18
-46,81,15
-31,59,4
-25,59,4
-33,69,5
-34,72,5
-30,60,2
-26,53,1
-25,47,0
-26,48,0
-26,48,-1
-24,48,0
-22,49,4
-21,49,4
-21,47,3
-26,53,5
-28,59,6
-28,66,8
-28,66,9
-31,62,13
-29,64,13
-33,93,11
-33,88,16
-34,64,17
-34,58,17
-36,60,12
-34,64,9
-27,65,12
-28,59,14
-27,46,11
-27,40,10
-30,37,8
-32,37,7
-32,40,9
-31,44,12
-30,45,13
-31,44,15
-32,46,14
-35,56,15
-36,62,17
-33,60,15
-33,55,13
-39,67,9
-50,91,14
-48,84,14
-43,72,8
-26,62,8
-32,66,8
-38,71,8
-38,71,7
-29,60,5
-25,53,5
-26,52,5
-25,50,4
-24,50,3
-21,48,3
-19,48,3
-19,46,3
-20,46,4
-21,48,4
-22,52,4
-25,63,7
-26,64,8
-28,62,11
-29,71,11
-36,103,16
-35,96,19
-39,70,18
-36,60,19
-35,63,14
-29,66,10
-28,63,10
-28,51,9
-29,46,7
-29,39,7
-29,38,7
-27,39,7
-27,38,8
-29,37,12
-29,37,13
-28,36,14
-29,39,15
-32,49,16
-34,60,17
-33,62,16
-32,61,12
-37,75,10
-47,96,16
-47,90,20
-34,66,9
-30,62,7
-36,74,8
-38,78,8
-34,71,5
-30,63,4
-28,54,4
-29,51,4
-30,49,4
-28,49,5
-24,46,4
-23,46,5
-24,45,8
-24,45,10
-23,45,10
-23,45,9
-25,53,8
-28,59,8
-31,61,8
-36,68,9
-36,70,7
-38,97,0
-42,117,5
-40,76,4
-40,56,4
-33,49,5
-34,58,2
-21,65,7
-18,61,8
-21,49,5
-24,48,9
-19,45,4
-23,43,1
-30,42,6
-31,41,7
-33,42,9
-36,43,16
-37,43,19
-36,52,24
-35,58,25
-26,64,28
-32,62,20
-53,57,3
-48,67,7
-49,100,21
-43,89,16
-31,71,6
-27,63,4
-31,66,3
-32,70,2
-29,69,1
-26,63,0
-22,52,-1
-23,46,-4
-24,44,-4
-23,44,-4
-21,44,-2
-20,45,-1
-20,47,0
-21,49,1
-23,53,2
-24,61,5
-26,66,8
-25,68,10
-26,66,11
-31,81,9
-35,90,11
-39,72,15
-44,64,14
-44,62,15
-41,63,14
-25,64,10
-24,64,13
-26,61,12
-32,48,8
-33,43,7
-30,38,8
-30,39,11
-26,41,11
-28,42,11
-29,44,13
-31,45,15
-31,47,15
-32,51,14
-34,63,16
-34,64,16
-33,58,13
-35,64,10
-49,101,17
-46,84,11
-39,68,5
-27,57,3
-31,63,5
-34,72,7
-31,68,5
-24,53,1
-22,49,0
-24,46,-1
-25,46,-1
-24,45,-1
-22,46,0
-24,49,3
-23,50,4
-25,52,4
-25,55,6
-26,63,8
-27,66,11
-30,66,13
-31,59,15
-31,60,14
-37,95,12
-38,95,18
-36,60,16
-37,51,16
-38,62,15
-38,66,11
-25,61,14
-17,49,12
-10,34,9
-16,36,9
