x,y,z
-24,-65,15
-21,-63,15
-21,-63,15
-22,-63,16
-22,-61,16
-22,-60,16
-20,-60,17
-20,-58,17
-20,-55,16
-20,-56,14
-20,-58,13
-22,-60,15
-21,-63,16
-16,-68,17
-11,-73,18
-4,-79,11
-7,-97,8
-6,-67,10
-7,-52,13
-18,-57,17
-15,-55,16
-12,-56,11
-7,-50,14
-7,-49,16
-12,-48,15
-19,-51,11
-20,-53,14
-19,-54,16
-16,-56,15
-16,-56,16
-16,-56,18
-15,-55,20
-16,-55,22
-20,-57,22
-20,-62,24
-21,-66,24
-22,-71,24
-24,-74,25
-30,-82,28
-29,-69,30
-26,-64,23
-25,-67,19
-28,-77,15
-26,-78,14
-18,-66,13
-16,-57,12
-17,-57,12
-21,-56,9
-23,-58,7
-23,-62,5
-21,-62,5
-17,-59,5
-17,-57,5
-19,-58,4
-20,-60,4
-20,-54,5
-21,-59,7
-17,-69,15
-13,-75,17
-2,-85,14
-1,-72,16
4,-55,24
-5,-58,18
-8,-60,19
-11,-61,22
-12,-60,23
-15,-53,25
-19,-53,25
-21,-54,21
-20,-56,20
-19,-58,19
-19,-59,19
-20,-57,21
-21,-55,20
-24,-50,20
-25,-53,21
-28,-58,23
-28,-63,25
-25,-71,28
-25,-75,26
-28,-80,27
-29,-68,22
-30,-66,20
-32,-65,18
-33,-65,17
-31,-68,16
-29,-68,15
-22,-68,11
-19,-67,10
-18,-66,8
-19,-64,7
-22,-59,5
-23,-57,4
-23,-53,4
-23,-50,6
-25,-48,6
-25,-51,6
-23,-48,10
-23,-48,12
-22,-56,16
-20,-62,24
-17,-65,26
-9,-72,21
-6,-81,16
-5,-73,21
-7,-58,24
-17,-53,20
-21,-55,17
-28,-63,14
-27,-62,16
-21,-54,19
-20,-50,18
-23,-51,15
-25,-52,14
-25,-57,15
-24,-58,15
-23,-60,17
-22,-59,18
-21,-56,18
-23,-60,21
-24,-60,23
-25,-64,25
-25,-65,27
-25,-76,27
-28,-84,28
-27,-73,29
-27,-68,24
-25,-60,19
-27,-61,17
-31,-64,15
-31,-68,14
-26,-69,14
-23,-65,12
-19,-59,9
-19,-58,8
-21,-57,5
-22,-55,3
-22,-53,3
-23,-53,5
-24,-52,6
-24,-59,7
-23,-63,8
-19,-68,12
-15,-70,12
-7,-70,14
-6,-73,15
-11,-67,22
-11,-56,26
-12,-48,23
-10,-49,22
-9,-53,19
-11,-58,19
-14,-63,25
-17,-59,28
-21,-53,30
-21,-53,28
-19,-54,28
-18,-57,25
-19,-58,24
-21,-57,25
-23,-55,26
-24,-57,27
-25,-55,28
-25,-55,27
-26,-59,26
-26,-62,28
-27,-61,27
-30,-70,23
-33,-78,22
-35,-72,25
-32,-69,23
-28,-65,17
-28,-64,13
-29,-67,10
-29,-67,9
-27,-63,9
-24,-55,7
-26,-52,5
-39,-54,2
-43,-56,1
-42,-63,0
-38,-65,3
-30,-66,8
-27,-67,9
-25,-71,10
-25,-70,10
-22,-66,15
-19,-66,18
-12,-62,25
-12,-62,30
-5,-67,33
9,-72,27
13,-52,32
3,-39,36
-3,-43,31
-9,-53,20
-10,-57,22
-11,-53,27
-13,-52,26
-18,-55,21
-20,-57,18
-25,-60,16
-26,-61,15
-25,-62,15
-24,-61,16
-27,-59,21
-26,-61,23
-27,-59,24
-30,-62,31
-30,-61,34
-30,-62,38
-28,-63,38
-27,-64,39
-27,-67,38
-32,-78,37
-30,-73,38
-25,-67,31
-23,-65,25
-23,-69,17
