x,y,z
-13,68,2
-21,70,-4
-19,66,-5
-12,57,-1
-10,50,1
-11,40,0
-13,40,-1
-12,50,-2
-11,58,-1
-11,65,2
-13,61,4
-12,71,1
-10,88,-2
-13,105,-1
-19,99,9
-20,67,9
-19,58,3
-19,68,5
-8,65,4
-4,55,5
-7,57,4
-14,63,2
-18,59,-1
-19,57,3
-14,55,11
-13,56,11
-10,57,12
-8,58,14
-11,67,17
-13,71,18
-13,78,17
-8,73,14
-6,76,12
-11,84,15
-18,81,13
-20,75,11
-16,65,10
-14,72,11
-14,77,10
-10,84,5
-8,79,3
-8,68,-1
-9,67,-2
-16,65,-7
-20,63,-10
-21,57,-9
-19,52,-8
-11,46,-5
-11,44,-3
-12,47,-2
-13,51,-2
-9,54,-1
-8,55,0
-9,64,1
-11,91,-1
-15,97,0
-25,91,8
-25,88,10
-19,85,11
-16,88,15
-11,72,14
-10,69,13
3,59,8
11,49,6
-5,48,9
-22,57,5
-23,57,-2
-15,59,3
-11,55,9
-9,53,8
-15,74,11
-11,87,13
6,69,11
3,65,9
-4,68,8
-19,81,4
-23,90,7
-19,77,13
-17,62,10
-15,66,6
-15,76,6
-11,85,6
-7,79,6
-3,67,5
-5,64,2
-11,64,-6
-15,64,-10
-23,63,-12
-23,61,-10
-17,53,-6
-14,47,-4
-13,46,-5
-12,55,-5
-12,56,-4
-11,58,-2
-12,63,-2
-13,83,-4
-15,91,-2
-27,88,9
-27,83,15
-13,67,14
-8,68,15
-3,80,20
-2,74,19
-6,60,16
-9,62,14
-11,63,14
-9,64,14
-9,61,13
-18,58,11
-19,56,10
-13,51,10
-10,57,13
-9,77,16
-6,78,14
-1,70,8
-3,80,8
-15,108,12
-19,98,11
-20,64,2
-18,55,2
-18,61,4
-19,67,3
-13,73,2
-11,71,1
-11,71,-1
-12,71,-4
-13,67,-7
-15,58,-9
-16,53,-8
-19,50,-7
-19,48,-6
-18,45,-3
-16,46,-3
-12,59,-1
-10,63,1
-6,63,2
-6,68,2
-10,90,2
-15,93,4
-27,88,13
-26,84,13
-19,74,10
-17,81,17
-8,83,23
-12,65,17
-16,62,14
-11,60,9
-1,54,9
-2,55,12
-9,61,11
-11,52,5
-9,45,4
-17,58,4
-16,72,3
-3,80,12
-3,76,10
2,69,5
-2,78,3
-14,82,9
-17,68,8
-22,67,6
-20,71,6
-16,73,6
-11,69,6
-10,67,5
-12,63,2
-13,66,0
-16,69,-5
-16,68,-5
-15,63,-4
-12,59,-5
-7,49,-4
-10,47,-2
-13,53,-1
-10,58,-2
-8,62,0
-10,59,1
-10,74,-2
-10,91,-3
-16,91,2
-24,72,9
-24,64,8
-22,68,9
-18,69,12
-9,66,16
-4,61,14
-4,55,9
-10,60,8
-17,70,7
-19,68,9
-13,60,13
-10,55,12
-6,54,13
-4,57,13
-4,67,11
5,69,18
-4,72,12
-7,67,9
-13,74,7
-18,79,11
-17,65,8
-18,64,8
-21,74,11
-20,89,11
-14,89,8
-3,67,7
-1,62,8
-5,65,5
-9,66,0
-12,64,-5
-12,61,-6
-11,53,-3
-10,48,-2
-7,46,-2
-9,47,-3
-11,56,-3
-11,66,-1
-12,66,1
-17,65,3
-15,79,-1
-13,108,-2
-14,97,7
-11,75,14
-10,65,7
-14,82,5
-11,79,8
-5,55,6
-2,51,6
-9,51,1
-12,52,-1
-20,55,-1
-20,56,1
-19,60,6
-13,62,7
-7,55,11
-8,59,15
-9,64,15
-11,72,16
-11,73,16
-6,67,14
-6,67,14
-14,78,16
-17,78,14
-16,72,14
-15,73,14
-13,81,12
-11,83,9
-9,79,8
-9,70,6
-11,61,2
-12,59,0
-16,62,-5
-16,63,-5
-15,59,-4
-10,51,-3
-9,50,-3
-11,50,-4
-12,56,-3
-10,67,-1
-8,69,0
-8,74,-3
-8,81,-1
-18,75,2
-24,78,9
-19,72,11
-13,68,8
-3,73,9
-3,75,12
-11,69,13
-14,61,9
-18,55,5
-18,57,7
-14,58,9
-11,58,9
-13,62,10
-11,62,9
-9,63,10
-7,68,14
-11,72,10
-1,71,15
-2,67,9
1,56,10
-4,57,10
-20,76,5
-24,90,9
-20,77,12
-16,69,12
-11,73,8
-11,78,6
-12,74,4
-11,65,3
-11,64,2
-17,66,-4
-20,69,-8
-21,67,-9
-20,61,-8
-14,52,-3
-11,48,-3
-10,44,-4
-14,50,-4
-15,62,0
-13,61,2
-5,61,6
-4,72,5
-7,82,2
-9,93,2
-17,84,8
-22,68,13
-24,61,11
-21,67,10
-18,70,11
-8,70,17
-6,66,18
-8,60,13
-8,61,11
-9,60,9
-11,59,8
-14,61,8
-13,57,8
-13,55,8
-11,56,8
-12,70,10
-9,75,11
