x,y,z
-24,59,-17
-30,60,-19
-30,61,-16
-23,56,-9
-28,56,-9
-28,54,-15
-25,53,-19
-17,52,-19
-14,53,-14
-10,58,-2
-11,60,2
-17,61,6
-21,58,7
-26,54,7
-32,55,6
-37,57,8
-35,59,9
-29,74,8
-28,81,11
-23,75,11
-25,76,10
-29,70,10
-34,59,6
-32,54,5
-21,62,5
-20,63,5
-16,66,7
-17,64,7
-19,56,6
-20,51,5
-23,50,6
-21,50,8
-18,55,14
-20,57,14
-24,57,13
-26,56,13
-24,55,14
-23,58,12
-24,67,12
-26,67,13
-28,64,12
-29,61,10
-30,62,9
-32,68,7
-31,77,7
-33,79,9
-34,77,7
-32,70,3
-29,62,2
-31,53,2
-31,57,2
-25,70,-1
-23,74,-1
-24,62,-4
-26,59,-4
-25,56,-2
-25,57,-3
-25,55,-4
-24,53,-4
-23,53,-3
-21,56,-2
-21,59,-3
-22,56,-3
-23,54,-3
-26,57,0
-29,59,2
-31,54,8
-33,54,12
-30,63,12
-29,71,10
-25,82,11
-24,78,14
-23,67,12
-24,61,12
-28,57,9
-26,62,4
-22,68,3
-18,71,3
-20,66,3
-24,59,3
-24,57,1
-25,54,-1
-24,56,0
-19,54,3
-20,55,6
-22,57,11
-24,58,12
-21,59,16
-11,61,26
-16,62,25
-18,60,23
-23,57,17
-22,59,14
-17,65,13
-20,70,10
-19,69,8
-22,63,4
-23,61,3
-29,77,5
-30,78,3
-25,69,-1
-28,67,-1
-25,74,-1
-23,80,-2
-17,74,-6
-15,68,-8
-12,62,-8
-12,60,-7
-18,60,-7
-20,64,-7
-15,61,-5
-16,52,-3
-16,48,-1
-20,46,-2
-24,46,0
-26,60,7
-22,56,3
-29,62,7
-32,66,13
-28,72,8
-29,76,6
-28,77,10
-28,70,12
-29,61,10
-29,61,8
-24,57,9
-20,54,10
-18,50,8
-20,50,6
-24,52,3
-31,56,1
-33,61,3
-34,63,5
-34,62,6
-33,59,10
-30,59,11
-27,62,12
-27,66,13
-25,68,14
-26,68,13
-31,83,13
-31,91,13
-28,85,8
-26,71,6
-25,55,4
-26,57,2
-24,68,-3
-16,71,-5
-16,64,-5
-24,59,-10
-26,58,-10
-25,55,-7
-24,54,-6
-21,55,-6
-20,56,-6
-23,59,-4
-26,59,-4
-27,57,-3
-28,56,0
-29,55,2
-30,55,5
-31,56,10
-32,53,11
-34,50,13
-32,55,14
-28,70,14
-26,69,15
-25,69,14
-24,61,8
-25,60,7
-27,62,5
-25,66,4
-20,70,3
-20,68,4
-20,60,5
-21,56,5
-22,54,4
-21,57,5
-19,57,6
-19,56,6
-23,61,7
-24,61,8
-24,63,11
-25,63,12
-25,60,14
-23,57,18
-20,56,17
-18,58,16
-17,60,15
-21,66,14
-22,65,13
-25,60,10
-25,57,9
-28,67,7
-32,78,10
-28,75,9
-28,73,7
-23,62,5
-29,75,3
-25,80,1
-21,79,-2
-18,68,-1
-22,65,-4
-22,65,-4
-18,59,-3
-18,59,-3
-17,63,-1
-16,61,0
-16,54,1
-17,53,2
-22,52,4
-26,55,6
-26,55,12
-25,54,12
-30,52,10
-38,52,7
-37,63,9
-33,69,8
-26,81,8
-26,76,5
-27,67,5
-29,51,4
-31,49,2
-26,56,3
-22,60,4
-15,67,6
-15,66,7
-19,56,3
-22,53,3
-28,51,4
-29,53,4
-28,56,7
-28,57,10
-31,60,13
-31,62,14
-33,69,16
-31,68,17
-28,69,19
-25,66,23
-25,62,23
-25,56,18
-24,55,16
-19,59,15
-18,64,12
-23,81,12
-23,79,9
-27,74,5
-26,69,5
-25,57,5
-24,53,3
-23,55,4
-21,57,4
-16,64,4
-17,66,3
-18,68,4
-18,65,3
-20,58,0
-25,55,0
-26,54,-1
-28,54,-2
-27,55,-1
-23,58,2
-21,59,2
-22,61,0
-24,62,0
-30,59,-3
-29,59,-1
-28,59,3
-28,58,5
-30,60,7
-31,60,7
-33,61,10
-32,65,12
-23,76,9
-24,79,6
-24,74,7
-25,63,6
-27,55,6
-32,53,4
-28,56,3
-19,66,3
-13,71,3
-12,71,1
-14,69,1
-19,63,2
-19,60,2
-15,55,2
-12,55,4
-10,55,6
-9,56,7
-10,64,11
-13,68,12
-20,64,14
-22,62,13
-21,62,14
-15,60,13
-13,59,12
-14,59,10
-14,60,8
-19,61,4
-21,64,2
-25,68,2
-28,68,5
-26,69,3
-26,68,4
-23,63,9
-22,62,7
-20,64,7
-21,64,6
-19,60,1
-22,70,-2
-22,76,-4
-20,68,-8
-20,65,-7
-21,66,-4
-20,67,-2
-21,66,-4
-19,68,2
-15,65,2
-14,63,4
-15,55,7
-13,56,7
-20,56,2
-21,55,0
-20,54,-2
-21,57,-3
-25,60,-5
-33,61,-4
-36,63,-5
-35,69,-4
-32,66,-5
-24,57,-4
-24,63,-1
-26,68,1
-27,67,0
-28,64,3
-26,62,5
-25,62,9
-24,61,12
-25,58,15
-23,58,15
-20,60,15
-17,62,17
-13,66,21
-14,66,19
-12,64,18
-16,61,16
-20,59,14
-21,56,9
-20,58,10
-18,62,10
-19,64,10
-21,70,8
-23,77,7
-28,85,8
-29,80,9
-29,75,8
-29,72,7
-25,68,6
-24,59,6
-21,46,5
-22,45,5
-22,54,3
-22,58,1
-21,63,-3
-23,64,-4
-25,63,-3
-28,61,-5
-28,59,-6
-24,55,-7
-22,55,-7
-24,56,-2
-27,57,2
-34,54,10
-36,51,14
-37,49,14
-36,53,11
-34,59,9
-35,60,12
-39,62,22
-35,63,20
-29,73,12
-25,73,12
-23,72,11
-23,59,9
-23,57,8
-27,53,4
-24,55,3
-16,65,1
-14,66,2
-14,57,4
-14,53,5
-19,49,0
-22,49,-1
-24,55,-1
-24,56,0
-25,57,5
-26,58,7
-29,59,9
-32,63,14
-29,65,16
-25,71,18
-22,72,20
-18,70,21
-19,67,21
-23,64,18
-25,64,16
-30,79,12
-33,86,13
-29,86,12
-26,74,8
-26,58,3
-26,60,1
-24,72,-3
-21,79,-4
-18,70,-4
-18,64,-4
-20,56,-3
-23,59,-6
-25,60,-7
-21,59,-7
-20,57,-6
-20,55,-4
-22,55,-2
-25,52,-1
-27,51,1
-28,52,6
-28,54,9
-30,54,13
-31,53,14
-33,52,13
-30,58,12
-28,74,10
-27,76,11
-27,61,12
-26,57,8
-27,64,8
-26,70,6
-25,73,6
-20,67,9
-19,63,9
-21,55,7
-22,54,5
-24,57,4
-24,59,5
-23,59,7
-24,59,7
-29,58,10
-30,56,11
-27,57,13
-25,60,14
-22,67,16
-21,68,17
-21,62,19
-25,63,19
-25,65,18
-26,79,17
-25,88,18
-20,81,14
-23,75,10
-22,65,5
-20,64,3
-19,63,-1
-19,66,-2
-20,72,-4
-19,67,-5
-22,56,-5
-22,53,-5
-24,54,-6
-25,55,-6
-25,54,-4
-24,54,-2
-23,52,0
-25,52,3
-26,53,5
-27,54,8
-27,53,8
-28,52,11
-27,51,11
-29,55,13
-30,58,15
-30,66,17
-29,74,17
-25,90,18
-22,87,18
-17,69,22
-20,53,17
-19,50,13
-20,54,7
-20,71,-1
-20,81,0
-22,73,2
-23,53,6
-24,47,4
-24,45,1
-24,46,1
-19,46,3
-18,47,4
-20,50,11
-21,54,14
-20,59,21
-21,62,22
-26,67,20
-24,69,19
-21,76,18
-17,75,17
-18,84,15
-19,85,17
-24,77,15
-25,59,9
-23,55,5
-22,63,2
-21,71,1
-16,76,-3
-15,73,-6
-14,64,-6
-16,60,-5
-20,64,-6
-19,64,-8
-17,60,-6
-15,58,-3
-17,57,-1
-17,58,0
-16,60,6
-16,60,5
-18,58,6
-21,56,8
-21,53,11
-22,49,6
-24,51,5
-31,60,5
-32,68,4
-29,79,-3
-27,80,-4
-34,80,-4
-36,73,-4
-38,61,-3
-35,58,-2
-28,61,2
-24,63,5
-17,64,7
-16,62,8
-17,54,6
-18,54,5
-21,55,5
-22,59,7
-23,60,9
-26,61,12
-27,62,14
-28,60,18
-27,57,19
-24,61,19
-22,66,20
-19,69,20
-17,67,19
-21,79,15
-24,88,14
-22,81,3
-22,82,1
-25,81,3
-29,73,1
-31,56,0
-25,60,-1
-20,65,0
