x,y,z
-23,61,-4
-18,58,-4
-18,59,0
-22,58,0
-24,61,3
-21,59,4
-24,58,15
-18,56,17
-26,55,14
-31,53,18
-31,58,17
-33,57,13
-32,60,17
-29,60,17
-25,67,17
-23,72,16
-25,80,10
-29,60,9
-31,52,7
-37,56,4
-41,60,3
-36,63,8
-29,61,11
-26,47,14
-26,43,14
-28,41,13
-28,40,13
-30,51,16
-29,52,16
-32,52,17
-35,50,19
-36,50,19
-38,50,20
-35,53,20
-32,52,21
-30,54,21
-34,57,20
-35,55,18
-35,52,15
-36,54,13
-39,71,8
-42,76,7
-43,69,8
-38,63,7
-32,57,2
-31,57,2
-35,69,2
-36,73,1
-35,68,0
-32,65,1
-27,59,1
-26,58,2
-33,59,1
-35,56,1
-36,55,3
-33,53,7
-35,49,10
-41,45,14
-41,43,14
-45,39,12
-46,39,13
-44,41,15
-43,42,16
-41,47,20
-38,49,22
-32,61,17
-30,67,14
-31,64,12
-34,57,12
-33,54,9
-35,55,6
-37,64,2
-34,59,8
-31,52,8
-34,50,6
-34,49,7
-33,51,10
-36,53,13
-37,54,22
-42,53,22
-41,54,20
-44,55,16
-43,58,17
-33,54,17
-36,50,5
-34,54,5
-29,55,7
-28,57,9
-25,58,14
-29,71,14
-35,77,14
-43,74,16
-41,66,14
-33,58,8
-31,58,6
-29,66,6
-29,67,6
-27,64,4
-27,62,3
-28,60,2
-30,60,2
-31,60,3
-30,59,3
-25,55,7
-23,53,6
-27,51,5
-37,48,4
-40,47,2
-43,44,2
-43,42,3
-44,43,3
-46,45,4
-56,51,10
-55,50,3
-51,49,-2
-47,57,2
-42,63,2
-43,66,1
-41,55,0
-45,54,6
-47,58,19
-42,61,20
-36,61,14
-32,60,13
-28,54,13
-28,47,8
-27,45,8
-28,46,11
-30,47,12
-30,47,13
-34,46,10
-39,42,6
-38,40,5
-38,46,9
-38,47,12
-37,47,10
-37,47,9
-40,50,12
-40,52,10
-38,57,10
-40,65,12
-36,74,13
-42,71,10
-41,60,8
-41,54,4
-38,54,4
-36,64,5
-38,70,5
-36,70,4
-33,66,3
-29,60,4
-28,60,4
-32,60,3
-33,60,2
-34,58,6
-34,57,6
-39,53,2
-38,50,2
-48,46,8
-46,40,11
-46,35,5
-50,36,3
-50,37,4
-45,39,10
-43,42,10
-37,52,10
-34,59,9
-31,74,9
-32,70,10
-34,59,10
-36,61,9
-37,64,11
-37,60,12
-30,58,15
-31,56,13
-31,49,11
-29,47,11
-32,47,10
-31,48,12
-29,46,13
-34,48,12
-35,46,13
-36,45,9
-40,46,11
-35,47,18
-36,50,18
-36,60,18
-38,60,17
-38,61,11
-37,60,11
-41,70,9
-42,72,8
-46,66,7
-44,61,4
-38,55,1
-36,55,-1
-34,67,-1
-36,75,0
-34,73,0
-30,64,-7
-30,63,-7
-30,59,-5
-32,54,-4
-33,61,-1
-33,61,2
-33,54,5
-33,56,6
-36,52,10
-37,49,13
-37,45,10
-39,40,12
-42,37,16
-40,39,16
-37,43,17
-36,47,17
-29,61,17
-30,69,19
-33,67,16
-33,59,13
-34,60,11
-33,62,10
-32,63,8
-30,62,9
-30,59,10
-31,52,7
-33,51,6
-39,55,15
-32,49,13
-35,47,9
-38,49,13
-39,49,14
-40,51,12
-41,52,16
-40,52,17
-37,52,15
-34,56,17
-34,57,16
-36,57,12
-37,58,11
-38,68,11
-41,72,10
-43,69,9
-40,65,8
-36,63,5
-35,64,3
-34,69,0
-31,70,0
-31,64,0
-30,61,0
-30,60,-3
-31,61,-3
-33,60,-2
-32,60,-1
-30,58,0
-34,56,4
-35,54,6
-43,50,11
-45,47,12
-47,43,14
-47,42,15
-46,39,19
-44,39,22
-42,39,24
-39,41,24
-34,49,22
-32,56,18
-33,57,14
-34,50,14
-35,49,13
-34,55,10
-35,59,9
-33,65,13
-32,63,15
-33,54,15
-33,52,14
-37,55,13
-38,56,14
-40,53,16
-40,53,17
-41,50,18
-41,48,18
-42,48,19
-42,48,20
-37,47,19
-36,49,18
-36,57,17
-35,59,15
-34,58,14
-33,59,12
-36,71,11
-43,70,11
-44,63,10
-40,63,6
-37,64,6
-35,72,7
-36,75,8
-34,68,9
-34,65,8
-33,60,6
-33,59,6
-33,56,9
-32,53,9
-31,49,9
-32,48,10
-34,48,13
-34,48,15
-33,43,16
-31,38,18
-31,38,18
-37,42,17
-38,42,18
-39,46,17
-38,47,17
-36,55,16
-35,62,15
-33,75,13
-35,76,14
-32,63,11
-34,62,5
-42,69,3
-45,69,4
-35,63,6
-32,61,6
-31,55,7
-30,51,9
-29,50,11
-30,48,10
-30,46,8
-35,46,9
-37,47,10
-40,49,8
-41,49,9
-43,48,12
-42,47,11
-41,51,10
-43,56,8
-39,56,8
-38,61,10
-45,77,13
-47,79,12
-45,65,7
-38,58,6
-35,57,5
-34,62,1
-35,66,1
-31,65,-2
-26,63,-3
-26,60,-7
-29,61,-6
-28,63,-7
-26,64,-7
-24,62,-4
-25,61,-3
-28,59,-3
-33,55,-1
-48,50,7
-45,48,10
-46,40,10
-46,36,12
-44,39,19
-41,40,21
-38,48,24
-31,59,26
-29,68,25
-30,71,18
-31,65,15
-32,56,9
-33,59,8
-44,61,2
-36,60,4
-31,60,9
-31,57,10
-30,48,10
-32,46,10
-32,43,9
-33,44,10
-32,45,13
-31,46,14
-33,51,14
-37,50,18
-22,47,11
-46,55,16
-56,58,22
-43,48,17
-46,49,13
-52,52,6
-49,55,7
-45,64,6
-47,72,6
-45,75,4
-44,66,2
-40,56,0
-36,56,-1
-36,61,-7
-36,67,-9
-34,74,-9
-28,67,-10
-28,66,-8
-26,63,-5
-25,61,-5
-27,60,-8
-29,58,-8
-31,53,-6
-35,51,-3
-40,47,-1
-44,45,0
-47,41,4
-48,41,7
-49,39,15
-48,39,17
-43,39,17
-40,40,17
-32,51,17
-30,58,18
-29,58,25
-30,55,22
-30,60,20
-32,68,18
-32,70,17
-33,73,9
-32,69,9
-38,57,-1
-38,51,1
-38,52,1
-35,51,0
-32,48,4
-31,48,6
-32,50,8
-34,49,9
-37,46,10
-39,45,11
-42,46,16
-39,47,17
-36,59,19
-32,66,21
-30,62,19
-33,69,14
-39,76,12
-47,67,9
-46,57,5
-42,51,-2
-38,56,-3
-36,70,-5
-36,76,-6
-36,76,-6
-35,72,-6
-30,69,-6
-29,69,-6
-28,65,-6
-29,61,-6
-32,58,-8
-32,53,-7
-34,44,-5
-44,46,0
-44,51,4
-43,48,6
-39,48,8
-32,46,13
-31,45,15
-29,45,19
-30,46,20
-29,57,24
-30,62,24
-36,55,20
-37,46,18
-37,50,19
-36,59,21
-35,72,20
-34,72,21
-30,61,23
-30,53,16
-30,51,14
-33,51,10
-35,50,10
-34,50,9
-36,51,11
-35,47,16
-34,46,16
-37,46,18
-37,47,21
-35,49,22
-36,52,22
-36,57,22
-37,57,21
-38,58,22
-36,59,20
-38,72,19
-43,79,14
-44,68,10
-39,50,4
-36,47,0
-35,51,-8
-39,57,-6
-36,74,0
-33,74,-2
-37,67,-6
-42,67,-10
-36,65,-7
-33,63,-1
-32,64,4
-33,62,8
-36,53,11
-36,49,8
-42,44,9
-35,40,9
-39,36,7
-41,36,36
-45,36,31
-45,35,26
-44,34,25
-41,40,31
-40,46,34
-35,55,31
-30,57,26
-27,52,16
-25,50,14
-30,60,12
-33,67,9
-37,74,11
-34,69,12
-31,53,9
-35,50,10
-40,54,13
-38,54,15
-33,52,19
-34,50,17
-36,48,16
-38,47,14
-38,48,13
-42,48,16
-40,46,14
-41,51,16
-41,55,15
-42,58,13
-39,54,12
-38,54,11
-38,60,10
-40,72,11
-40,70,10
-42,61,8
-42,61,7
-40,62,7
-34,71,10
-31,71,10
-29,67,11
-29,65,10
-28,63,11
-26,60,11
-26,62,10
-25,60,11
-22,56,9
-22,55,8
-26,61,10
-26,60,12
-22,56,11
-20,52,13
-21,46,16
-20,46,13
-29,49,14
-32,54,14
-33,57,14
-34,71,15
-33,80,14
-33,92,8
-36,85,9
-40,66,9
-43,59,6
-49,51,3
-45,52,6
-39,54,11
-37,55,12
-39,50,13
-40,48,16
-35,45,19
-35,45,21
-34,45,22
-34,45,22
-31,46,23
-27,45,20
-32,48,27
-23,47,24
-22,46,22
-23,41,32
-18,38,28
-32,44,14
-38,46,15
-44,56,14
-45,58,12
-48,63,9
-46,66,12
-48,64,11
-45,62,12
-42,66,16
-38,66,16
-32,64,13
-33,66,12
-34,62,11
-34,58,6
-36,58,6
-34,56,3
-32,55,0
-27,52,-5
-26,51,-8
-50,52,1
-45,51,2
-45,49,2
-45,50,2
-51,44,-1
-53,43,2
-52,44,6
-48,42,6
-53,43,4
-53,45,9
-42,51,17
-33,63,17
-31,70,18
-29,61,12
-29,53,11
-31,49,11
-33,54,8
-31,63,9
-32,66,9
-28,55,10
-28,50,10
-29,46,10
-31,47,11
-31,47,10
-31,47,9
-36,50,9
-39,51,8
-47,54,10
-44,54,8
-45,54,13
-39,52,17
-36,52,15
-42,58,14
-42,57,12
-42,56,10
-42,59,9
-43,69,6
-44,72,4
-45,67,0
-42,60,-2
-38,58,-4
-35,60,-7
-36,74,-8
-36,82,-7
-30,81,-4
-25,78,-2
-21,74,0
-18,67,1
-17,63,1
-19,55,1
-21,52,2
-28,46,5
-32,43,5
-42,41,5
-47,40,8
-50,39,12
-49,41,12
-46,38,13
-44,39,14
-40,44,17
-39,46,18
-33,61,18
-30,66,16
-30,71,9
-34,69,9
-38,61,12
-33,63,3
-33,65,6
-28,68,6
-32,63,3
-35,52,3
-35,50,0
-44,54,3
-43,53,9
-32,43,8
-31,45,10
-34,51,16
-35,50,12
-41,53,12
-41,53,13
-42,51,11
-42,54,13
-39,58,14
-40,60,15
-39,61,16
-38,72,16
-38,71,13
-42,68,9
-40,64,5
-38,57,0
-33,52,-1
-28,47,-5
-30,58,-4
-34,71,-5
-37,75,-6
-30,81,-3
-22,74,-2
-15,64,1
-17,62,1
-26,61,0
-28,61,-2
-29,62,-6
-29,58,1
-30,52,4
-36,48,9
-41,48,16
-42,42,21
-42,41,20
-38,40,23
-35,42,23
-31,51,22
-28,60,21
-28,74,16
-32,76,16
-37,63,12
-38,56,8
-38,62,4
-39,66,2
-37,66,0
-31,58,4
-30,53,3
-29,46,-1
-33,48,-2
-35,51,4
-32,48,3
-32,47,4
-33,48,7
-41,51,13
-44,52,13
-35,56,35
-39,58,32
-46,58,11
-44,59,4
-40,60,0
-34,60,2
-30,60,3
-32,67,4
-34,81,10
-40,76,10
-36,70,9
-36,60,-1
-32,62,0
-8,65,15
-26,66,6
-28,66,5
-30,65,0
-24,60,-1
-23,58,2
-22,56,7
-20,53,7
-20,54,8
-23,55,11
-14,52,18
-10,55,20
-32,54,7
-42,53,-3
-48,54,-10
-47,53,-6
-46,53,-4
-39,62,1
-47,66,8
-27,79,10
-23,87,13
-18,94,0
-27,71,-6
-38,61,-13
-39,55,-19
-45,54,-22
-37,55,-13
-22,56,-15
-35,52,-3
-21,46,20
-26,43,10
-30,41,2
-29,40,5
-31,38,7
-40,41,10
-42,43,12
-46,46,23
-46,45,19
-50,51,15
-51,56,13
-48,58,3
-45,63,2
-45,65,8
-43,65,8
-52,76,8
-53,76,9
-49,65,4
-46,61,5
-41,59,5
