x,y,z
-35,52,10
-33,53,13
-33,52,15
-30,54,17
-27,51,15
-25,51,15
-25,53,17
-27,59,18
-28,59,16
-31,56,14
-31,56,13
-34,61,11
-37,63,12
-40,61,9
-43,60,8
-45,55,9
-46,52,8
-47,51,8
-43,51,8
-42,51,7
-43,49,5
-42,51,4
-49,77,2
-48,83,4
-34,61,3
-30,60,4
-34,64,-1
-38,71,-5
-35,75,-4
-31,70,0
-30,62,-1
-34,60,-4
-40,58,-8
-40,58,-3
-38,55,1
-39,52,1
-41,52,2
-42,49,7
-39,48,9
-38,47,13
-38,46,15
-35,45,15
-34,48,15
-33,53,15
-32,52,15
-33,55,18
-33,54,21
-30,55,19
-29,61,19
-31,60,20
-33,56,20
-32,52,16
-33,54,14
-35,57,12
-38,59,14
-40,60,16
-42,56,18
-42,54,14
-57,52,16
-53,51,14
-50,45,12
-49,45,13
-45,43,10
-46,43,10
-41,45,10
-41,50,7
-49,72,4
-49,72,7
-42,59,2
-39,65,0
-37,70,0
-37,80,-1
-38,79,-1
-35,71,1
-34,68,3
-27,62,7
-32,60,6
-36,56,10
-38,52,12
-38,46,17
-39,42,19
-37,39,20
-37,37,22
-43,38,24
-44,38,24
-44,39,22
-44,42,22
-40,49,22
-36,50,22
-34,50,22
-31,52,20
-31,51,18
-33,52,17
-35,56,16
-37,56,17
-38,54,17
-34,53,18
-32,52,17
-34,57,22
-35,57,23
-38,60,20
-42,57,21
-43,53,21
-44,50,19
-45,47,21
-42,47,18
-43,45,16
-43,45,12
-44,48,10
-51,75,8
-50,78,10
-38,55,9
-37,56,9
-38,65,6
-40,73,4
-39,74,7
-34,68,9
-29,61,8
-29,59,5
-30,61,3
-29,60,2
-26,62,-4
-24,62,-1
-24,59,4
-21,48,7
-20,46,10
-30,42,14
-31,48,14
-34,52,14
-38,56,15
-35,62,15
-34,60,14
-36,64,20
-33,65,23
-36,60,18
-36,62,15
-36,65,18
-37,66,16
-35,54,20
-25,51,21
-30,48,16
-38,52,13
-39,54,14
-40,56,15
-43,57,16
-40,54,14
