x,y,z
-28,-81,24
-26,-62,17
-29,-64,14
-32,-66,17
-28,-59,14
-26,-48,6
-26,-44,8
-33,-43,14
-33,-44,11
-38,-46,5
-38,-48,9
-37,-50,16
-35,-51,14
-36,-49,14
-39,-45,20
-39,-40,19
-40,-39,17
-42,-40,18
-42,-42,18
-39,-44,17
-35,-50,18
-30,-52,18
-29,-71,14
-28,-60,19
-30,-54,24
-31,-68,22
-28,-77,25
-23,-71,27
-19,-52,35
-21,-46,34
-31,-39,29
-37,-36,25
-41,-36,18
-39,-38,17
-34,-44,22
-31,-46,26
-30,-45,31
-34,-46,29
-35,-47,29
-38,-50,31
-36,-51,31
-35,-52,32
-33,-53,33
-30,-53,33
-29,-53,32
-33,-63,26
-36,-67,28
-33,-59,26
-33,-58,22
-42,-72,22
-48,-81,23
-56,-68,20
-57,-63,17
-71,-55,11
-69,-44,6
-72,-40,1
-76,-34,-5
-74,-31,-10
-55,-23,-3
-55,-17,-4
-38,-12,4
-29,-10,8
-35,-7,8
-41,-5,9
-36,-4,15
-37,-1,20
-62,-1,16
-67,1,12
-61,6,16
-58,9,23
-63,12,24
-63,15,23
-67,15,20
-63,17,23
-60,21,23
-57,23,18
-57,22,15
-53,21,18
-50,22,21
-51,22,20
-52,21,19
-50,23,23
-48,25,26
-56,24,23
-58,26,20
-63,27,19
-66,29,18
-75,29,12
-75,28,11
-72,30,15
-77,23,10
-70,18,9
-66,20,9
-64,20,9
-57,20,5
-54,18,5
-56,13,5
-54,11,5
-44,10,7
-38,8,7
-39,0,6
-52,-4,0
-52,-7,3
-50,-14,11
-58,-24,14
-65,-27,10
-58,-26,12
-60,-29,15
-68,-33,15
-59,-37,20
-59,-39,19
-56,-47,20
-53,-51,19
-47,-75,19
-41,-79,24
-33,-50,26
-29,-54,23
-20,-65,24
-19,-62,29
-27,-56,26
-30,-53,24
-38,-44,22
-41,-42,21
-42,-45,21
-37,-45,22
-35,-43,24
-34,-43,32
-33,-45,32
-33,-50,29
-32,-53,29
-29,-54,33
-28,-56,32
-28,-57,28
-28,-57,27
-26,-52,24
-26,-49,23
-40,-73,23
-39,-68,33
-35,-54,15
-40,-59,12
-39,-75,25
-40,-80,26
-32,-67,21
-28,-58,19
-22,-51,19
-23,-47,20
-29,-44,18
-42,-42,15
-47,-45,12
-48,-42,7
-41,-38,11
-41,-33,18
-44,-34,17
-47,-29,15
-52,-25,14
-53,-27,12
-50,-30,13
-50,-38,19
-49,-41,24
-46,-59,20
-42,-71,24
-34,-48,34
-31,-58,29
-28,-57,27
-29,-51,29
-27,-45,27
-29,-35,19
-31,-31,18
-41,-36,20
-43,-39,19
-42,-41,15
-42,-45,17
-44,-52,25
-44,-53,27
-44,-51,27
-42,-50,27
-40,-50,25
-38,-51,25
-36,-56,30
-32,-51,33
-33,-50,32
-36,-60,25
-42,-77,26
-35,-70,29
-37,-70,22
-31,-58,15
-33,-61,12
-36,-68,11
-33,-65,12
-29,-58,8
-28,-57,7
-25,-54,8
-25,-52,8
-25,-50,8
-26,-50,9
-26,-50,11
-27,-48,12
-29,-48,19
-30,-50,20
-32,-49,22
-35,-46,24
-34,-49,23
-34,-53,26
-34,-55,28
-32,-67,23
-34,-82,23
-27,-52,33
-26,-42,27
-24,-48,18
-28,-55,20
-29,-51,23
-31,-47,20
-29,-40,16
-30,-41,16
-34,-49,18
-35,-52,19
-34,-55,22
-28,-56,25
-27,-56,28
-24,-52,30
-24,-50,31
-26,-50,32
-28,-54,30
-33,-62,32
-32,-60,34
-30,-57,31
-29,-60,25
-33,-92,19
-32,-83,23
-29,-58,12
-29,-54,6
-31,-65,5
-32,-67,5
-26,-58,4
-25,-53,4
-26,-50,5
-29,-47,5
-31,-47,5
-32,-51,8
-32,-51,9
-32,-49,12
-34,-50,15
-31,-58,13
-31,-59,13
-30,-65,22
-30,-66,26
-27,-64,26
-25,-66,25
-24,-67,23
-25,-48,27
-25,-43,26
-25,-39,23
-29,-50,19
-26,-52,24
-25,-48,26
-25,-41,25
-25,-40,25
-29,-43,23
-30,-47,24
-29,-51,26
-29,-51,27
-27,-51,27
-28,-53,29
-31,-51,35
-31,-50,35
-30,-50,32
-30,-52,31
-30,-56,33
-30,-55,33
-31,-60,27
-35,-75,26
-33,-68,32
-31,-64,22
-29,-63,20
-33,-71,21
-28,-70,23
-21,-60,17
-21,-56,14
-22,-51,12
-26,-51,13
-34,-52,11
-35,-51,10
-29,-48,14
-26,-47,18
-23,-44,21
-22,-45,21
-23,-45,23
-24,-46,24
-26,-51,25
-25,-58,28
-23,-58,29
-25,-57,28
-26,-65,25
-28,-69,30
-24,-50,33
-32,-46,24
-31,-54,23
-29,-59,29
-24,-56,30
-22,-48,27
-23,-43,27
-27,-43,26
-32,-47,25
-34,-49,24
-31,-48,23
-30,-50,26
-31,-50,30
-30,-49,31
-28,-50,30
-29,-54,30
-28,-61,34
-27,-61,35
-26,-58,33
-26,-58,31
-31,-76,29
-32,-78,32
-24,-62,26
-24,-54,21
-31,-55,17
-36,-59,17
-37,-59,16
-32,-56,14
-26,-51,13
-23,-49,14
-24,-50,14
-27,-51,12
-27,-51,11
-26,-51,10
-27,-53,11
-27,-54,15
-27,-53,16
-29,-52,15
-30,-51,17
-32,-54,22
-30,-55,23
-28,-53,26
-27,-51,28
-24,-51,31
-20,-51,28
-30,-89,24
-26,-70,32
-24,-53,23
-25,-70,26
-22,-67,28
-19,-54,23
-21,-46,24
-28,-40,23
-32,-40,22
-32,-41,21
-31,-44,21
-30,-49,26
-29,-48,28
-27,-49,28
-28,-51,28
-30,-53,31
-30,-52,33
-30,-49,30
-32,-52,30
-34,-55,34
-34,-56,33
-33,-65,29
-31,-77,33
-27,-72,31
-24,-58,22
-26,-56,18
-34,-64,14
-35,-65,13
-32,-57,11
-29,-52,9
-26,-49,10
-27,-49,10
-27,-46,7
-28,-46,7
-28,-49,12
-28,-48,13
-30,-47,15
-33,-49,18
-31,-51,21
