x,y,z
-28,-43,28
-26,-43,30
-22,-47,37
-24,-49,38
-29,-53,38
-30,-55,37
-33,-72,36
-34,-90,42
-36,-98,47
-28,-89,42
-14,-69,26
-13,-64,27
-22,-59,37
-28,-53,31
-33,-41,19
-36,-37,15
-40,-36,14
-39,-38,13
-38,-37,12
-34,-36,11
-32,-36,9
-33,-37,9
-32,-38,10
-29,-40,12
-29,-42,15
-29,-48,22
-29,-51,23
-24,-60,28
-20,-65,29
-17,-85,34
-15,-85,39
-12,-72,47
-11,-69,50
-18,-67,43
-18,-45,29
-12,-42,31
-4,-44,33
-7,-47,29
-19,-49,21
-23,-50,18
-23,-49,18
-23,-48,19
-24,-47,21
-23,-47,23
-23,-50,27
-21,-51,29
-19,-52,31
-17,-53,34
-16,-57,37
-17,-57,36
-18,-58,36
-29,-88,46
-34,-106,51
-19,-90,35
-6,-80,31
-6,-67,30
-16,-65,30
-36,-58,19
-37,-53,15
-28,-48,17
-28,-47,18
-34,-49,19
-35,-49,18
-36,-48,18
-35,-47,17
-31,-44,17
-30,-41,18
-27,-40,18
-26,-39,18
-24,-40,22
-20,-41,25
-19,-40,24
-22,-46,27
-17,-56,33
-20,-65,39
-28,-66,39
-21,-66,43
-13,-67,45
0,-64,45
3,-59,42
2,-52,33
-2,-52,29
-13,-55,26
-19,-56,24
-29,-56,25
-30,-53,25
-29,-48,28
-30,-48,29
-27,-48,30
-22,-50,33
-20,-50,34
-18,-50,36
-17,-51,37
-18,-54,35
-18,-57,34
-22,-79,37
-26,-99,45
-24,-97,41
-22,-89,33
-17,-74,25
-15,-69,23
-16,-58,24
-19,-53,24
-27,-47,21
-29,-45,19
-37,-45,17
-36,-44,19
-36,-43,19
-35,-39,21
-34,-37,19
-34,-33,20
-34,-32,19
-33,-32,21
-32,-33,23
-29,-37,26
-26,-39,27
-24,-46,28
-25,-50,30
-27,-68,32
-27,-72,39
-20,-69,52
-12,-64,52
-5,-58,45
-3,-56,45
-7,-48,45
-15,-45,37
-29,-43,27
-29,-46,32
-28,-48,31
-24,-51,31
-22,-51,32
-23,-48,31
-25,-47,31
-27,-48,32
-27,-48,33
-25,-50,34
-22,-50,34
-19,-47,35
-21,-48,34
-28,-57,34
-32,-68,34
-36,-94,41
-33,-89,39
-21,-72,27
-21,-68,26
-24,-61,25
-28,-55,20
-28,-52,18
-27,-47,14
-29,-48,13
-35,-51,13
-37,-53,13
-35,-53,12
-34,-52,11
-30,-51,11
-30,-50,11
-29,-51,15
-29,-52,15
-28,-55,18
-28,-59,21
-24,-61,26
-20,-62,26
-15,-72,28
-16,-64,43
-17,-61,47
-15,-56,43
-12,-57,40
-5,-50,39
-4,-46,37
-7,-42,31
-8,-43,32
-11,-47,35
-16,-48,32
-22,-51,27
-21,-50,28
-18,-48,31
-16,-47,31
-15,-46,31
-15,-47,31
-14,-50,31
-15,-51,32
-16,-50,35
-19,-55,34
-23,-69,33
-32,-111,47
-27,-94,44
-15,-70,26
-10,-64,23
-15,-60,28
-21,-57,27
-29,-47,18
-29,-43,16
-30,-42,14
-30,-44,14
