x,y,z
-17,59,4
-17,58,4
-15,52,4
-15,50,4
-17,49,4
-17,53,5
-19,65,11
-19,70,14
-15,73,16
-14,74,20
-10,90,25
-6,78,26
-4,63,24
-11,52,23
-18,54,23
-22,59,21
-21,61,21
-11,54,21
-8,50,22
-11,48,21
-16,51,20
-20,58,17
-19,60,18
-17,59,20
-16,56,20
-17,53,19
-17,52,18
-18,52,17
-18,54,18
-20,65,22
-17,69,22
-15,70,22
-22,90,24
-24,92,26
-25,74,20
-25,70,19
-21,67,17
-20,69,16
-17,65,17
-16,64,17
-16,59,13
-16,58,12
-16,57,10
-16,57,9
-15,58,8
-16,57,6
-16,57,6
-16,58,8
-16,58,8
-15,62,10
-16,66,12
-15,72,16
-15,73,17
-12,76,22
-11,86,26
-7,72,27
-5,61,27
-9,48,30
-13,48,31
-17,54,30
-14,56,28
-8,57,22
-7,55,22
-12,52,21
-18,53,17
-20,54,16
-22,54,16
-21,51,18
-20,47,18
-21,45,19
-22,44,20
-22,47,22
-23,64,26
-22,71,27
-21,86,25
-23,104,27
-21,87,24
-19,69,18
-20,71,16
-21,69,15
-19,69,14
-18,64,13
-17,58,13
-17,54,11
-16,53,11
-16,54,11
-18,55,12
-19,55,11
-20,54,11
-22,51,9
-23,50,8
-23,49,8
-24,50,8
-29,55,11
-30,57,11
-31,63,12
-32,67,14
-32,76,17
-32,86,16
-29,94,17
-22,58,19
-21,51,19
-27,57,17
-27,61,16
-22,67,16
-16,63,17
-8,49,20
-7,46,20
-12,47,17
-15,49,17
-20,52,19
-22,50,20
-29,49,23
-33,49,24
-45,50,20
-45,51,23
-62,56,23
-73,61,23
-75,68,24
-90,72,25
-107,74,20
-87,66,19
-78,57,20
-82,42,12
-92,41,6
-61,29,1
-53,17,1
-43,1,0
-30,-5,3
-14,-14,6
-16,-17,4
-13,-23,9
-11,-26,11
-14,-29,10
-6,-32,15
9,-36,14
-25,-52,18
-49,-62,10
-19,-62,17
-9,-58,23
-20,-60,22
-34,-67,34
-48,-73,32
-41,-63,26
-51,-43,17
-58,-41,16
-56,-48,11
-55,-45,8
-48,-38,7
-45,-40,6
-38,-43,7
-38,-43,11
-33,-44,14
-34,-40,14
-28,-33,7
-10,-19,19
-26,-21,10
-32,-15,3
-36,-16,3
-33,-13,12
-43,-13,12
-59,-17,6
-70,-12,9
-76,3,23
-88,4,22
-96,21,17
-95,32,20
-98,37,19
-100,36,17
-97,33,13
-90,35,17
-79,31,10
-62,23,9
-55,20,9
-47,16,10
-47,16,9
-49,20,8
-51,23,8
-52,24,10
-50,24,12
-47,26,15
-47,29,14
-47,39,19
-46,46,23
-39,55,24
-37,63,29
-38,86,34
-29,88,36
-12,67,34
-18,55,29
-22,53,25
-26,64,22
-22,65,21
-13,59,20
-12,54,19
-15,52,16
-17,54,14
-23,56,11
-24,55,12
-20,52,16
-21,51,18
-20,49,19
-20,48,19
-20,51,22
-21,67,25
-20,74,27
-17,73,27
-18,78,24
-26,102,27
-26,83,25
-24,64,21
-24,63,17
-21,68,11
-18,70,11
-15,64,14
-15,62,16
-14,58,16
-14,57,14
-16,58,13
-16,59,13
-16,56,14
-15,53,14
-18,49,11
-19,48,11
-21,51,11
-21,52,12
-22,56,14
-25,61,16
-27,65,18
-27,65,25
-26,69,24
-20,90,22
-16,80,22
-14,64,27
-18,58,27
-23,53,25
-22,55,23
-16,60,22
-13,58,21
-10,52,21
-13,51,20
-19,52,20
-20,53,19
-25,53,18
-26,51,22
-25,50,22
-24,50,25
-25,49,26
-27,47,24
-30,48,23
-33,55,23
-34,59,23
-32,62,20
-32,70,20
-33,87,22
-31,72,20
-28,58,16
-29,58,16
-28,65,16
-26,69,16
-22,69,15
-21,61,15
-22,57,14
-25,52,11
-28,51,10
-30,51,11
-30,50,11
-31,48,10
-32,47,10
-34,48,9
-35,48,9
-33,46,8
-33,46,8
-34,51,12
-34,54,13
-33,67,19
-31,72,20
-22,76,22
-17,82,20
-11,98,20
-13,57,21
-15,50,23
-24,52,22
-25,56,19
-19,64,18
-15,62,18
-7,49,20
-8,46,19
-14,47,16
-17,51,15
-19,56,17
-17,55,19
-14,49,19
-14,47,20
-16,46,19
-17,47,20
-19,58,26
-18,69,29
-14,66,27
-16,101,27
-18,112,30
-19,74,22
-19,66,18
-19,69,16
-20,70,14
-19,63,11
-18,58,11
-20,51,11
-21,50,11
-21,52,7
-22,54,7
-21,55,10
-21,55,10
-23,54,11
-23,54,11
-23,58,14
-20,65,15
-18,68,17
-15,74,20
-14,76,23
-14,75,27
-13,83,28
-11,73,25
-9,59,24
-11,44,24
-14,43,25
-17,49,23
-16,54,23
-11,55,22
-9,51,22
-12,48,22
-15,50,20
-19,58,19
-20,61,19
-18,58,19
-17,54,21
-17,52,22
-17,48,23
-16,46,23
-19,53,26
-20,60,27
-20,70,26
-19,69,23
-23,101,23
-25,103,28
-20,68,21
-19,62,19
-20,65,17
-22,69,18
-16,66,17
-14,60,17
-15,54,15
-16,55,12
-17,55,9
-19,59,7
-20,59,7
-18,56,8
-18,53,7
-19,52,7
-19,53,7
-19,65,11
-18,71,13
-12,72,14
-13,73,17
-17,86,24
-17,96,25
-7,73,27
-5,58,28
-12,46,27
-17,47,26
-14,52,27
-7,57,27
-3,54,26
-7,47,21
-9,47,19
-16,51,18
-17,54,18
-19,57,18
-19,56,18
-16,52,18
-15,51,19
-20,53,25
-19,54,27
-30,60,25
-37,64,26
-41,70,29
-39,80,30
-55,89,31
-56,80,30
-57,77,30
-66,71,26
-76,73,21
-77,78,25
-78,75,23
-71,61,18
-67,51,15
-55,45,16
-53,35,10
-35,15,10
-35,5,10
-24,-9,9
-25,-17,7
-15,-25,13
-13,-28,19
-8,-35,28
-5,-39,36
-8,-42,38
-13,-51,32
-7,-53,37
-29,-63,36
-32,-58,39
-23,-52,31
-21,-50,35
-14,-45,35
-10,-46,31
-13,-42,25
-15,-45,17
-10,-47,13
2,-48,11
29,-48,35
37,-47,43
23,-40,34
20,-35,29
17,-36,29
18,-34,20
9,-33,20
0,-38,23
1,-39,26
-22,-31,39
-31,-26,41
-65,-18,40
-76,-15,47
-69,-6,55
-62,-1,57
-72,8,49
-78,9,43
-71,13,37
-68,15,36
-68,20,35
-68,23,29
-64,24,28
-55,24,31
-52,25,31
-53,27,32
-52,26,30
-48,24,30
-46,25,33
-48,27,32
-47,27,30
-41,28,29
-43,32,29
-39,39,32
-37,42,33
-31,58,32
-29,64,31
-23,67,32
-19,65,30
-17,63,24
-20,71,23
-20,78,20
-17,80,18
-18,73,20
-17,61,17
-19,57,14
-21,57,11
-21,58,14
-19,56,15
-19,56,16
-19,54,20
-19,52,20
-17,47,21
-18,46,21
-18,49,24
-17,56,26
-16,67,30
-16,78,30
-17,88,31
-22,85,29
-21,69,25
-23,60,20
-23,60,19
-19,66,19
-17,71,18
-14,67,17
-14,65,18
-15,63,19
-16,61,18
-19,58,15
-21,57,14
-23,55,15
-24,53,15
-23,50,13
-24,45,12
-24,44,12
-24,43,12
-24,46,14
-23,56,18
-24,64,22
-20,73,25
-16,76,25
-5,96,24
-6,104,29
-8,66,26
-12,56,21
-27,55,20
-31,56,18
-20,62,18
-13,61,23
-7,52,23
-10,48,20
-17,48,18
-19,51,18
-20,56,16
-16,55,19
-16,53,20
-16,47,23
-16,47,22
-15,48,22
-15,51,23
-15,61,25
-16,67,26
-14,70,27
-13,69,25
-21,86,27
-26,87,29
-24,68,20
-22,68,19
-24,74,19
-22,74,18
-17,64,17
-17,54,15
-18,53,13
-19,53,11
-19,55,9
-18,59,8
-17,58,9
-17,55,9
-17,53,8
-18,54,9
-18,56,11
-16,62,14
-16,67,15
-16,70,19
-15,74,22
-13,84,25
-12,95,29
-5,75,33
-3,47,29
-7,41,27
-15,44,23
-17,50,20
-14,60,17
-11,61,19
-13,53,22
-15,51,22
-17,53,18
-19,58,18
-17,60,18
-16,59,19
-17,54,20
-16,53,20
-17,49,22
-17,47,21
-18,51,23
-19,57,26
-15,65,29
-13,64,26
-18,92,26
-25,87,29
-27,73,23
-24,60,22
-23,62,20
-20,70,19
-17,70,19
-14,65,16
-14,61,15
-15,57,15
-15,56,13
-16,55,10
-16,55,10
-16,55,11
-17,57,11
-17,61,13
-16,61,13
-13,63,14
-11,67,15
-12,66,17
-13,67,20
-14,67,25
-12,78,27
-10,87,27
-5,62,28
-5,54,29
-11,48,30
-15,52,29
-16,62,27
-13,63,25
-6,57,25
-8,53,24
-13,49,22
-16,51,21
-21,56,19
-19,55,21
-17,53,22
-15,51,23
-15,50,24
-15,51,24
-15,51,23
-16,56,23
-17,59,23
-16,65,23
-16,71,22
-18,95,24
-18,93,26
-16,68,23
-14,71,20
-11,76,16
-12,74,15
-11,63,16
-12,56,17
-13,54,15
-16,54,13
-18,55,12
-19,54,13
-22,53,14
-23,50,13
-24,49,12
-26,50,11
-27,52,11
-27,53,11
-28,53,12
-28,57,14
-27,62,15
-25,69,17
-23,73,17
-19,80,19
-17,95,19
-17,90,22
-18,57,23
-18,50,23
-18,54,20
-14,58,18
-10,65,14
-9,62,14
-11,48,18
-13,45,19
-15,48,16
-15,50,15
-15,53,18
-14,53,19
-13,52,25
-11,52,28
-9,49,28
-9,47,26
-14,47,23
-18,52,24
-19,61,26
-17,71,27
-18,75,26
-19,82,26
-22,89,27
-26,76,27
-25,63,21
-24,62,20
-25,63,19
-22,69,17
-19,73,19
-15,70,19
-16,66,17
-15,63,13
-15,62,10
-14,61,10
-13,60,11
-12,47,9
-14,46,9
-14,49,10
-16,50,10
-15,52,10
-17,60,13
-19,65,15
-21,76,21
-20,81,23
-8,101,26
-3,102,30
-6,67,34
-10,52,34
-18,49,26
-16,52,24
-7,56,19
-5,54,18
-3,45,20
-9,42,22
-13,44,22
-15,52,21
-15,56,22
-13,58,25
-12,56,26
-9,52,25
-8,48,23
-10,44,21
-11,46,22
-15,59,24
-17,66,26
-17,69,24
-17,72,22
-26,95,29
-31,89,30
-28,71,24
-23,69,21
-14,77,17
-13,73,14
-13,68,14
-15,64,18
-15,60,19
-16,58,17
-18,59,15
-20,59,10
-21,57,9
-20,54,11
-20,53,12
-20,52,12
-19,53,12
-19,56,12
-20,60,13
-21,62,18
-20,63,19
-23,82,25
-22,84,25
-15,65,27
-13,49,32
-13,46,32
-11,50,28
-10,53,26
-9,52,24
-8,50,26
-13,48,25
-14,49,23
-16,54,21
-17,58,22
-14,59,25
-13,59,26
-13,57,25
-14,55,24
-15,56,24
-16,58,25
-17,63,25
-18,69,25
-19,72,25
-18,69,23
-20,77,24
-25,83,28
-22,73,26
-18,63,22
-18,67,22
-16,78,22
-15,77,22
-11,67,20
-12,62,17
-17,57,15
-18,55,14
-21,53,12
-23,54,13
-23,51,13
-25,47,14
-27,47,14
-30,49,14
-31,50,15
-29,52,16
-27,54,17
-24,60,19
-22,63,22
-20,65,28
-17,69,30
-13,76,30
-11,69,30
-5,55,29
-7,54,28
-13,55,28
-15,57,27
-14,59,26
-9,53,25
-9,50,24
-11,54,22
-14,60,21
-17,70,21
-18,69,20
-17,58,20
-15,54,20
-15,53,20
-14,53,19
-14,54,18
-14,53,19
-18,60,21
-18,64,22
-16,72,24
-16,75,22
-22,90,27
-23,81,29
-19,61,23
-17,60,20
-18,67,20
-15,76,22
-13,69,20
-13,60,17
-14,57,15
-18,59,15
-19,60,13
-18,61,10
-17,60,10
-17,58,10
-17,58,10
-17,58,10
-16,58,10
-14,59,12
-14,61,12
-14,63,16
-13,63,17
-14,65,20
-14,77,23
-13,83,25
-4,70,29
-3,62,28
-11,55,26
-14,53,26
-16,54,23
-14,59,23
-11,62,24
-11,58,23
-15,54,20
-18,56,19
-22,61,18
-23,62,17
-21,57,19
-21,54,19
-21,51,20
-21,50,20
-20,49,21
-20,46,22
-22,47,23
-26,57,25
-27,62,24
-23,76,22
-24,90,22
-27,93,27
-25,80,24
-18,65,16
-16,65,14
-17,72,14
-16,74,16
-16,67,18
-16,64,18
-17,59,15
-20,54,12
-22,53,13
-27,51,14
-28,50,15
-29,49,13
-30,48,13
-31,44,13
-32,43,13
-34,41,12
-35,40,12
-38,42,13
-38,45,15
-37,54,19
-37,60,22
-33,65,24
-29,73,23
-23,76,25
-20,68,26
-21,60,26
-23,62,25
-20,66,23
-12,72,17
-9,69,17
-9,57,19
-11,52,19
-16,48,14
-17,48,13
-18,51,14
-17,51,16
-16,52,19
-15,52,20
-16,52,21
-16,52,22
-15,50,22
-15,49,21
-18,57,24
-19,63,25
-19,71,26
-22,91,25
-27,94,29
-27,72,27
-22,65,21
-17,68,17
-17,72,16
-16,72,14
-17,67,15
-18,67,18
-17,66,17
-17,63,13
-17,62,10
-18,62,9
-18,59,9
-17,53,8
-17,51,8
-18,48,8
-19,48,8
-19,51,9
-18,59,13
-18,64,15
-16,72,18
-15,77,22
-10,85,27
-5,95,26
-2,79,27
-4,66,28
-11,51,26
-16,49,25
-18,53,24
-14,57,24
-7,55,22
-4,50,22
-9,46,21
-16,49,20
-19,54,20
-20,58,22
-17,57,22
-13,54,23
-11,54,23
-11,53,22
-12,51,22
-14,52,24
-15,56,25
-16,67,27
-15,68,28
-16,78,24
-21,89,27
-24,77,30
-22,70,27
-18,70,22
-15,74,19
-13,74,18
-11,65,18
-13,61,18
-14,57,16
-15,55,14
-18,53,10
-19,54,9
-18,53,9
-17,53,9
-16,53,10
-16,53,10
-16,58,11
-15,61,12
-12,70,14
-11,74,15
-12,82,23
-11,93,25
-6,84,22
-4,69,24
-7,45,25
-13,46,24
-14,50,24
-12,62,24
-10,61,24
-5,49,26
-7,47,26
-10,48,22
-13,54,20
-16,67,20
-16,69,21
-15,62,22
-15,57,22
-14,51,19
-15,52,18
-17,54,18
-18,58,20
-19,64,22
-17,63,21
-17,65,20
-22,89,22
-26,96,29
-21,71,25
-17,65,21
-14,72,18
-14,78,19
-15,73,20
-14,68,21
-13,64,22
-12,61,20
-12,56,18
-13,55,16
-14,48,14
-14,45,14
-17,43,14
-20,49,13
-21,51,13
-21,56,13
-21,58,14
-20,62,17
-20,64,18
-18,67,20
-16,71,19
-13,88,21
-13,87,24
-11,68,26
-13,60,25
-16,55,23
-17,59,21
-14,65,21
-12,63,22
-8,56,25
-10,54,24
-15,52,21
-21,55,22
-22,56,23
-25,56,23
-29,55,22
-31,53,23
-31,51,23
-31,46,21
-32,45,20
-37,49,20
-39,53,22
-36,60,21
-34,66,20
-38,74,22
-39,69,22
-34,59,18
-31,58,17
-27,64,18
-22,65,18
-23,63,18
-24,64,19
-25,61,18
-24,55,15
-25,52,14
-26,49,13
-27,49,13
-28,47,13
-28,47,13
-30,47,13
-30,47,12
-30,46,12
-30,47,12
-31,49,14
-31,53,15
-33,67,20
-27,74,25
-20,74,22
-10,94,20
-12,85,24
-13,60,28
-15,55,27
-19,59,22
-19,65,20
-13,68,15
-9,63,15
-8,50,19
-11,47,19
-16,48,16
-19,50,15
-20,52,15
-18,52,17
-16,51,21
-14,51,21
-12,49,22
-11,48,21
-13,52,21
-16,69,26
-17,73,28
-15,82,24
-19,94,27
-21,78,26
-20,70,21
-19,70,17
-20,71,15
-22,69,15
-21,65,15
-20,60,15
-18,57,14
-17,55,11
-17,56,9
-17,58,9
-16,58,10
-16,57,11
-16,54,11
-17,54,10
-16,57,11
-16,60,12
-13,69,15
-12,71,17
-10,73,19
-12,81,20
-15,93,25
-14,81,26
-11,54,27
-11,44,27
-12,42,26
-10,53,21
-9,60,20
-7,63,20
-7,55,22
-13,50,27
-15,50,25
-15,54,19
-15,56,16
-14,57,18
-15,56,19
-15,52,22
-16,51,21
-16,48,18
-18,52,20
-20,67,23
-19,74,26
-12,73,26
-12,82,26
-25,89,32
-28,78,28
-27,68,21
-23,71,21
-21,71,20
-17,63,17
-17,59,15
-18,58,14
-16,58,14
-13,59,15
-13,58,13
-15,59,11
-14,57,13
-15,55,11
-16,56,10
-14,60,11
-13,63,12
-10,68,12
-9,69,14
-10,71,19
-10,74,19
-14,90,22
-12,63,27
-11,50,27
-11,40,25
-14,43,23
-13,56,23
-12,60,24
-9,56,26
-11,53,25
-16,51,23
-18,54,22
-16,60,24
-15,61,25
-15,60,26
-15,57,26
-14,53,25
-15,50,24
-16,49,23
-17,54,24
-17,70,28
-13,68,23
-14,69,19
-22,95,26
-25,85,28
-23,63,21
-22,59,19
-19,63,15
-18,68,15
-16,67,15
-15,65,17
-15,65,17
-15,62,14
-14,60,10
-14,59,10
-14,59,9
-14,60,9
-16,60,10
-15,57,9
-15,56,10
-13,55,12
-13,57,12
-13,65,13
-13,67,14
-13,69,21
-13,79,23
-10,85,27
-8,72,28
-9,55,29
-13,52,30
-20,54,31
-18,58,29
-10,66,26
-6,64,25
-7,54,23
-13,52,20
-16,54,19
-21,57,19
-21,56,18
-18,51,19
-17,49,21
-14,48,23
-14,48,22
-15,50,25
-16,50,24
-19,58,24
-19,60,24
-22,62,21
-22,68,19
-27,93,19
-30,89,21
-25,67,18
-22,65,12
-20,68,11
-19,72,10
-17,70,11
-16,60,9
-15,57,6
-15,54,2
-16,55,1
-16,56,1
-18,54,2
-25,55,3
-26,54,2
-34,55,3
-38,57,5
-41,55,4
-40,53,3
-39,52,4
-38,53,4
-36,56,3
-33,56,0
-34,58,-1
-33,60,-1
-31,66,0
-30,81,4
-26,80,6
-37,66,0
-31,61,1
-29,63,0
-19,65,5
-9,75,23
-11,70,24
-20,63,18
-23,59,13
-28,53,12
-30,59,15
-32,55,13
-34,52,9
-35,46,3
-27,40,13
-21,38,20
-28,41,23
-40,42,21
-53,43,25
-48,41,31
-40,42,34
-47,47,35
-58,67,49
-57,74,37
-33,53,14
-24,53,9
-23,47,10
-26,50,14
-31,52,16
-33,54,16
-41,53,14
-35,45,16
-31,43,15
-34,41,13
-37,38,12
-42,37,13
-44,36,13
-47,39,13
-50,42,13
-51,47,15
-48,50,17
-38,59,23
-30,62,27
-22,69,28
-19,72,25
-16,74,20
-16,76,16
-20,82,16
-28,64,17
-28,56,18
-23,51,19
-19,54,18
-18,63,15
-16,64,15
-11,55,14
-9,52,15
-12,50,14
-12,52,14
-14,57,16
-14,58,17
-15,54,18
-16,51,18
-17,51,18
-17,52,19
-16,53,21
-16,53,23
-15,60,26
-13,67,25
-12,68,22
-16,92,23
-20,95,28
-23,75,22
-23,70,18
-20,62,14
-19,63,11
-21,64,10
-21,65,12
-19,64,15
-18,61,14
-18,59,10
-20,62,8
-20,63,8
-19,61,9
-20,56,11
-20,54,12
-20,53,11
-20,54,11
-19,55,12
-19,62,15
-19,65,16
-19,68,18
-18,69,20
-15,78,22
-15,91,25
-13,81,29
-9,66,28
-8,44,26
-10,40,24
-14,43,19
-15,49,18
-15,63,19
-13,61,21
-14,53,23
-14,53,21
-14,56,19
-16,64,19
-15,64,19
-14,59,21
-15,56,20
-16,53,21
-16,51,21
-14,49,21
-14,50,22
-15,54,25
-16,57,25
-15,63,25
-14,66,25
-17,79,22
-21,90,26
-26,74,26
-23,64,19
-20,66,19
-19,70,17
-18,69,17
-18,69,21
-17,66,21
-13,61,17
-13,59,15
-14,59,13
-15,61,13
-15,60,12
-15,57,11
-17,54,10
-18,54,10
-19,53,10
-20,52,9
-22,51,8
-23,54,10
-23,55,12
-22,60,16
-22,62,18
-20,75,21
-18,92,22
-13,89,27
-10,71,28
-14,54,27
-16,54,28
-21,60,26
-18,63,25
-10,65,25
-7,60,25
-10,51,24
-12,50,23
-19,54,22
-18,55,22
-14,53,22
-13,52,22
-13,52,22
-16,53,20
-18,54,18
-22,53,20
-23,52,22
-25,51,23
-26,52,24
-25,55,24
-25,58,24
-25,72,20
-27,83,20
-33,77,24
-37,67,18
-24,62,9
-20,63,8
-15,68,13
-15,67,16
-16,59,15
-18,56,10
-20,57,11
-21,58,12
-21,58,12
-22,57,12
-23,56,12
-25,56,11
-25,56,11
-26,55,10
-26,55,10
-28,53,10
-28,54,10
-29,57,11
-28,60,13
-25,68,15
-22,69,16
-21,69,17
-22,86,17
-22,88,18
-20,69,16
-19,61,15
-20,51,15
-21,51,15
-18,59,18
-16,62,18
-11,62,18
-11,58,20
-11,52,21
-13,51,19
-13,53,17
-13,54,18
-12,56,19
-12,55,19
-14,54,19
-15,54,18
-15,53,18
-15,51,18
-15,51,18
-18,60,19
-20,66,21
-21,72,23
-21,76,23
-22,93,27
-24,91,30
-21,69,24
-19,64,21
-19,63,21
-20,63,20
-19,68,19
-17,66,18
-15,59,16
-16,57,15
-19,57,12
-20,60,9
-19,61,8
-17,63,8
-17,63,7
-16,60,7
-16,59,7
-16,58,8
-16,60,8
-15,67,11
-14,71,12
-13,89,15
-12,99,20
-9,78,26
-6,63,28
-5,46,27
-7,48,24
-7,57,19
-7,60,19
-5,54,21
-7,48,24
-10,47,24
-14,49,20
-16,52,17
-21,59,16
-22,63,18
-24,63,18
-22,61,18
-18,58,20
-17,56,21
-20,60,21
-23,68,23
-23,74,27
-20,70,26
-22,91,27
-26,92,31
-22,70,25
-18,63,20
-17,66,18
-16,73,16
-16,71,15
-15,69,17
-15,66,17
-14,60,13
-15,59,10
-17,59,7
-17,59,6
-16,58,6
-15,57,6
-16,56,6
-16,56,8
-16,60,11
-16,62,12
-15,69,15
-11,71,18
-9,75,20
-8,88,28
-7,78,31
-3,52,31
-5,46,31
-10,45,28
-13,50,25
-14,62,21
-13,63,21
-13,59,26
-16,58,28
-21,60,26
-23,63,24
-23,63,21
-20,60,21
-17,55,19
-17,53,19
-17,49,19
-18,48,19
-19,49,20
-21,62,25
-20,66,26
-16,72,22
-18,86,23
-26,84,30
-25,72,28
-23,64,24
-19,66,22
-18,69,14
-18,70,14
-14,71,19
-13,69,19
-12,65,17
-12,63,14
-15,63,9
-16,62,6
-16,60,7
-15,54,7
-15,51,8
-15,50,8
-15,54,9
-16,68,15
-14,71,17
-8,67,18
-6,75,19
-7,95,26
-8,86,28
-11,55,29
-12,40,30
-13,39,28
-13,43,23
-13,61,18
-13,64,25
-10,59,30
-15,57,34
-15,57,32
-18,63,26
-17,64,25
-12,62,24
-12,59,23
-12,53,22
-13,51,21
-16,48,20
-18,49,19
-22,54,20
-21,57,21
-17,61,21
-16,63,21
-14,65,22
-16,73,20
-28,104,31
-25,70,29
-20,65,23
-9,76,19
-7,76,17
-8,68,15
-9,65,17
-12,58,22
-13,56,21
-15,56,16
-16,56,14
-17,53,12
-16,50,12
-15,44,12
-15,43,12
-18,42,12
-20,44,12
-21,49,12
-21,55,14
-21,68,19
-18,78,20
-16,92,21
-14,99,26
-12,83,26
-13,58,24
-13,55,24
-20,61,21
-19,66,21
-14,63,20
-9,55,20
-9,47,20
-11,45,19
-17,51,18
-18,54,18
-18,56,19
-17,55,20
