x,y,z
-17,-54,17
-17,-56,17
-17,-55,16
-17,-50,16
-19,-53,15
-20,-58,16
-19,-71,14
-17,-75,12
-21,-83,8
-21,-86,7
-21,-74,8
-22,-67,9
-22,-53,9
-22,-55,7
-20,-63,4
-18,-67,2
-13,-64,3
-13,-63,2
-15,-62,2
-17,-63,2
-18,-64,1
-19,-62,0
-15,-63,1
-14,-59,2
-15,-55,4
-16,-62,4
-17,-67,4
-17,-75,5
-17,-75,6
-16,-78,8
-15,-81,7
-13,-66,7
-13,-55,9
-17,-48,13
-19,-46,14
-21,-49,13
-21,-51,13
-18,-48,15
-17,-47,17
-16,-51,18
-18,-61,19
-17,-64,19
-17,-63,19
-17,-57,21
-17,-53,22
-20,-58,21
-19,-62,19
-21,-66,16
-22,-76,13
-21,-82,12
-23,-90,10
-25,-86,10
-33,-71,6
-33,-64,3
-32,-70,-1
-32,-73,-1
-30,-65,-2
-29,-59,-1
-26,-49,0
-27,-45,-6
-25,-42,-4
-23,-39,-4
-10,-39,2
-68,-43,-27
-39,-39,-13
-59,-51,-14
-79,-51,-23
-48,-55,-8
-48,-52,-15
-60,-53,-4
-68,-49,-1
-47,-44,3
-33,-38,11
-58,-32,8
-47,-27,3
-43,-30,2
-50,-29,-1
-54,-32,-4
-56,-28,1
-51,-28,4
-49,-28,2
-49,-28,1
-53,-25,-2
-53,-23,-1
-49,-20,11
-43,-20,15
-58,-21,8
-66,-25,3
-57,-32,-2
-60,-36,-6
-78,-48,-21
-69,-48,-16
-75,-44,-23
-53,-38,-17
-47,-33,-21
-41,-35,-21
-62,-37,-44
-44,-35,-36
-40,-30,-32
-53,-32,-33
-49,-30,-27
-48,-30,-22
-41,-32,-17
-41,-34,-12
-44,-36,-8
-51,-36,-12
-55,-38,-15
-59,-40,-15
-67,-46,-13
-68,-46,-2
-39,-40,10
-52,-38,10
-57,-40,5
-64,-47,-8
-53,-39,-7
-46,-34,-6
-39,-28,-8
-39,-25,-9
-39,-30,-3
-43,-37,0
-47,-45,0
-44,-44,2
-41,-45,2
-47,-45,-3
-39,-50,5
-36,-53,5
-41,-55,3
-42,-55,3
-39,-55,4
-38,-53,6
-38,-59,7
-31,-63,7
-32,-72,6
-30,-85,3
-26,-82,3
-24,-68,10
-22,-60,11
-21,-59,6
-22,-64,3
-17,-64,0
-16,-60,0
-17,-61,0
-17,-62,1
-18,-64,2
-19,-66,2
-18,-66,1
-17,-63,1
-17,-60,2
-18,-68,0
-17,-61,9
-17,-73,7
-18,-79,7
-16,-72,13
-15,-60,15
-17,-48,17
-19,-49,17
-19,-54,19
-20,-55,20
-17,-52,22
-16,-48,21
-18,-47,18
-20,-50,17
-20,-55,18
-22,-56,17
-22,-55,16
-22,-53,17
-24,-56,17
-27,-66,16
-25,-75,16
-27,-87,11
-26,-93,9
-20,-70,11
-19,-56,12
-19,-45,10
-21,-53,7
-23,-68,2
-20,-69,1
-15,-63,1
-15,-60,1
-15,-58,3
-17,-57,2
-20,-57,1
-20,-58,0
-18,-58,3
-18,-57,4
-18,-59,5
-19,-70,3
-18,-74,4
-16,-79,7
-16,-80,8
-17,-73,13
-17,-58,17
-18,-47,15
-19,-47,14
-20,-58,14
-19,-61,16
-16,-60,19
-16,-52,19
-17,-48,15
-18,-49,15
-18,-52,16
-19,-53,17
-20,-56,17
-22,-51,16
-23,-47,17
-27,-49,16
-29,-57,15
-28,-67,13
-30,-77,10
-30,-108,7
-24,-91,9
-22,-62,7
-18,-59,5
-16,-65,2
-17,-68,-1
-14,-58,0
-14,-55,0
-17,-57,1
-18,-59,0
-19,-62,-3
-19,-65,-5
-19,-64,-6
-17,-58,-3
-18,-58,-2
-19,-66,-2
-19,-70,-1
-18,-73,2
-17,-73,3
-15,-72,5
-16,-67,9
-17,-54,14
-18,-52,12
-22,-50,11
-22,-52,13
-25,-56,16
-25,-58,19
-21,-51,20
-20,-50,18
-18,-51,14
-18,-54,15
-19,-59,17
-20,-55,15
-21,-54,13
-21,-55,11
-23,-61,9
-24,-71,9
-23,-69,9
-23,-80,3
-21,-79,3
-18,-68,4
-17,-64,2
-18,-70,0
-17,-68,0
-16,-61,-1
-16,-57,-1
-17,-59,-1
-17,-59,-1
-19,-64,-3
-17,-67,-4
-16,-66,-3
-15,-61,0
-15,-66,1
-16,-77,1
-17,-81,2
-16,-85,2
-15,-79,6
-10,-50,16
-11,-41,18
-21,-47,18
-21,-50,20
-20,-55,18
-19,-56,19
-14,-49,22
-16,-48,22
-17,-50,22
-17,-52,22
-22,-63,19
-22,-62,22
-23,-57,22
-23,-54,21
-26,-58,20
-28,-53,17
-29,-49,16
-30,-55,15
-29,-60,14
-29,-62,11
-30,-69,10
-30,-85,10
-28,-85,10
-24,-65,13
-22,-54,13
-23,-63,8
-22,-70,6
-18,-81,2
-14,-68,8
-13,-63,9
-14,-51,9
-16,-49,7
-17,-49,7
-17,-46,7
-20,-43,6
-21,-45,7
-22,-45,11
-23,-47,10
-26,-62,10
-26,-68,11
-25,-77,10
-24,-78,10
-21,-82,10
-20,-91,6
-19,-64,13
-19,-47,18
-24,-55,17
-23,-60,13
-23,-66,11
-19,-52,11
-18,-46,13
-21,-43,12
-22,-46,13
-22,-55,14
-21,-58,15
-21,-58,15
-21,-56,15
-22,-57,14
-23,-65,14
-20,-77,14
-19,-77,13
-23,-84,9
-19,-69,9
-20,-57,8
-21,-55,5
-20,-60,3
-17,-67,0
-15,-61,0
-14,-55,1
-14,-55,1
-18,-55,1
-18,-59,-1
-19,-59,-3
-19,-62,-4
-15,-58,-1
-17,-57,0
-19,-67,0
-21,-74,1
-22,-76,6
-20,-75,7
-18,-79,6
-18,-87,6
-12,-55,16
-18,-49,16
-21,-51,16
-21,-52,18
-21,-53,17
-19,-45,16
-17,-44,17
-19,-48,17
-20,-54,17
-21,-65,17
-21,-66,16
-19,-60,17
-19,-54,18
-22,-51,17
-24,-58,17
-24,-64,15
-23,-66,14
-23,-74,12
-28,-97,12
-24,-88,13
-23,-51,10
-23,-57,6
-18,-61,4
-19,-65,2
-15,-68,4
-14,-60,4
-16,-53,4
-17,-56,3
-18,-58,0
-20,-61,0
-16,-62,2
-17,-61,3
-17,-65,5
-18,-72,4
-18,-60,9
-20,-63,10
-18,-71,10
-14,-58,13
-13,-52,13
-17,-45,14
-20,-52,14
-22,-63,17
-20,-61,19
-20,-51,19
-20,-50,19
-21,-54,18
-21,-55,18
-21,-58,18
-21,-58,18
-23,-59,16
-24,-67,15
-23,-82,14
-21,-75,12
-20,-68,7
-19,-58,5
-19,-61,2
-20,-67,0
-20,-66,-1
-17,-61,-3
-18,-59,-5
-18,-63,-7
-19,-63,-8
-18,-63,-10
-17,-64,-10
-15,-62,-10
-15,-62,-9
-15,-67,-8
-17,-73,-7
-18,-75,-3
-19,-81,-2
-13,-85,0
-13,-70,7
-12,-48,21
-11,-52,16
-14,-55,15
-12,-68,17
-10,-69,20
-7,-57,28
-9,-52,27
-16,-52,22
-18,-54,21
-18,-58,20
-19,-59,20
-18,-60,19
-17,-59,18
-17,-57,17
-18,-56,17
-21,-57,17
-23,-58,16
-26,-64,17
-27,-67,16
-27,-67,15
-24,-65,16
