x,y,z
-35,-62,-12
-37,-65,-13
-34,-70,-7
-30,-70,-5
-32,-64,-3
-32,-60,-3
-31,-56,-3
-30,-55,-3
-29,-54,0
-29,-54,1
-30,-52,2
-32,-52,3
-34,-54,11
-34,-53,12
-30,-63,15
-25,-62,19
-22,-59,30
-25,-57,32
-27,-57,29
-28,-54,22
-26,-54,22
-27,-57,23
-27,-58,23
-29,-63,19
-30,-62,19
-31,-56,18
-31,-54,17
-34,-57,17
-33,-60,16
-33,-53,19
-32,-53,21
-30,-57,20
-31,-61,20
-27,-62,24
-23,-54,25
-25,-51,24
-29,-56,24
-31,-65,24
-28,-79,19
-19,-71,15
-15,-68,11
-21,-67,8
-31,-63,0
-28,-56,-2
-29,-56,-2
-30,-60,-3
-32,-62,-3
-32,-61,-1
-40,-60,-3
-46,-59,-4
-46,-56,0
-46,-54,2
-43,-49,3
-41,-39,6
-40,-35,6
-37,-33,7
-36,-34,8
-35,-38,8
-34,-43,8
-34,-57,11
-33,-55,15
-31,-52,20
-28,-58,19
-27,-67,18
-27,-70,19
-28,-66,20
-27,-64,19
-37,-65,26
-23,-61,27
-31,-64,14
-29,-63,16
-32,-60,12
-31,-56,16
-32,-57,16
-30,-57,16
-30,-58,16
-29,-56,18
-29,-54,18
-28,-61,19
-25,-63,20
-19,-63,23
-20,-62,23
-24,-59,21
-31,-68,22
-24,-76,19
-15,-69,13
-15,-66,9
-18,-63,10
-25,-58,6
-26,-58,1
-26,-59,0
-28,-66,0
-28,-65,1
-26,-55,4
-27,-50,5
-29,-48,5
-29,-48,4
-29,-49,4
-29,-45,6
-30,-48,6
-31,-50,7
-34,-54,9
-35,-57,12
-31,-70,14
-27,-64,21
-27,-65,22
-26,-66,21
-28,-65,20
-28,-61,21
-27,-58,20
-25,-61,18
-25,-54,19
-34,-54,21
-36,-54,21
-29,-51,19
-24,-50,20
-22,-52,24
-26,-53,25
-25,-54,21
-24,-56,17
-26,-64,17
-27,-67,18
-27,-67,17
-31,-75,17
-26,-65,16
-26,-65,7
-32,-67,5
-33,-59,-1
-29,-53,-4
-28,-52,3
-26,-52,1
-33,-58,-3
-40,-56,-2
-39,-57,-1
-36,-55,1
-39,-51,3
-38,-52,1
-39,-50,3
-39,-52,3
-34,-51,4
-32,-56,2
-35,-62,6
-28,-64,5
-23,-58,9
-23,-58,14
-25,-61,14
-27,-59,14
-23,-59,14
-22,-57,16
-24,-52,16
-28,-50,14
-30,-51,13
-35,-54,12
-34,-56,14
-35,-51,18
-33,-55,19
-39,-60,18
-36,-61,17
-30,-62,18
-32,-65,18
-33,-63,18
-36,-69,17
-35,-65,16
-33,-63,13
-32,-64,12
