x,y,z
-19,-73,5
-18,-85,1
-24,-100,2
-29,-69,13
-23,-61,6
-23,-59,-3
-22,-66,-4
-26,-72,-7
-31,-69,-7
-22,-57,-2
-18,-49,1
-19,-47,-1
-18,-53,-2
-13,-56,-3
-13,-59,-3
-16,-62,-2
-16,-62,0
-12,-56,6
-12,-55,6
-25,-57,3
-25,-62,0
-22,-63,5
-12,-66,14
-9,-73,19
-17,-84,15
-17,-75,15
-26,-62,7
-26,-62,5
-24,-64,7
-24,-66,4
-20,-70,3
-20,-68,5
-26,-62,2
-22,-57,2
-19,-55,4
-18,-58,3
-13,-52,0
-13,-49,-1
-21,-52,-7
-20,-53,5
-21,-54,3
-18,-61,1
-21,-62,0
-48,-68,-11
-33,-67,-7
8,-82,12
17,-81,16
20,-64,17
18,-64,20
-1,-70,13
-7,-71,10
-19,-65,4
-24,-63,0
-22,-53,5
-20,-51,10
-17,-52,13
-16,-54,15
-20,-57,13
-19,-61,14
-23,-62,14
-19,-64,17
-19,-65,16
-24,-66,14
-24,-64,13
-18,-71,14
-30,-79,5
-27,-92,12
-21,-85,9
-5,-66,11
-12,-64,9
-19,-69,-1
-20,-71,-3
-19,-70,-7
-19,-65,-11
-14,-58,-5
-13,-62,-3
-8,-61,-6
-16,-59,-11
-18,-55,-14
-29,-49,-16
-32,-47,-16
-22,-45,-2
-20,-51,-1
-15,-61,7
-16,-63,10
-10,-63,16
-9,-64,19
-14,-81,13
-15,-89,10
-15,-72,15
-18,-68,15
-24,-69,14
-19,-66,16
-17,-64,14
-15,-64,12
-14,-60,14
-5,-53,23
-21,-49,8
-16,-51,17
-24,-52,18
-28,-55,12
-20,-58,22
-29,-64,13
-25,-65,15
-22,-64,15
-23,-65,15
-23,-66,16
-24,-65,16
-26,-71,14
-28,-76,7
-23,-80,7
-20,-67,8
-21,-70,5
-20,-72,-1
-21,-72,-4
-21,-74,-11
-20,-71,-11
-22,-60,-14
-17,-58,-11
-16,-58,-13
-24,-56,-9
-10,-54,-4
-11,-52,-8
-17,-54,-7
-19,-53,-4
-21,-52,1
-20,-53,3
-21,-61,4
-23,-63,4
-21,-64,10
-19,-72,15
-16,-77,14
-16,-76,16
-18,-67,17
-18,-60,14
-19,-65,15
-18,-72,13
-16,-74,12
-18,-70,9
-20,-63,7
-22,-53,7
-21,-50,2
-19,-51,7
-17,-53,10
-21,-56,12
-24,-60,10
-22,-66,12
-18,-68,10
-19,-70,11
-20,-66,12
-15,-63,14
-17,-59,11
-15,-58,13
-17,-64,13
-17,-74,8
-21,-89,8
-22,-82,7
-22,-69,7
-19,-66,4
-16,-60,3
-15,-65,1
-19,-74,2
-14,-72,1
-10,-62,-1
-19,-59,-1
-18,-57,-1
-14,-55,-2
-16,-55,-3
-12,-51,0
-16,-51,1
-18,-51,2
-15,-54,5
-13,-59,13
-9,-61,7
-8,-61,9
-12,-62,8
-16,-61,4
-17,-63,4
-15,-80,2
-17,-78,5
-17,-71,7
-17,-70,13
-20,-69,14
-12,-78,11
-14,-83,11
-20,-70,15
-20,-60,12
-13,-48,16
-17,-47,13
-21,-46,10
-15,-51,9
-20,-54,8
-18,-55,8
-22,-65,9
-17,-65,7
-8,-68,17
-13,-71,16
-21,-70,11
-16,-66,14
-16,-65,14
-18,-77,13
-22,-87,6
-19,-64,1
-21,-61,1
-21,-61,-1
-21,-65,0
-15,-68,0
-18,-67,-6
-13,-62,-5
-16,-62,-1
-19,-56,-3
-13,-54,-3
-15,-54,-1
-17,-55,-1
-18,-52,0
-19,-48,1
-19,-51,4
-15,-57,7
-15,-66,12
-14,-70,11
-14,-68,15
-10,-75,11
-10,-87,9
-10,-63,9
-11,-63,7
-18,-68,7
-20,-66,8
-20,-62,7
-17,-60,8
-12,-55,7
-10,-55,9
-17,-57,7
-20,-57,5
-23,-57,7
-21,-53,10
-22,-53,17
-24,-60,19
-22,-62,18
-16,-68,17
-15,-69,24
-20,-65,22
-20,-65,17
-20,-83,12
-25,-93,11
-25,-91,4
-18,-78,9
-19,-63,4
-22,-58,1
-23,-67,-5
-17,-72,0
-16,-71,-3
-15,-66,-2
-16,-58,0
-12,-53,-5
-15,-55,-5
-18,-57,-6
-16,-55,-7
-19,-53,-2
-19,-52,-1
-23,-51,-2
-23,-50,1
-21,-50,7
-27,-54,3
-28,-66,5
-14,-63,10
-1,-72,19
-3,-81,17
-12,-74,15
-15,-65,12
-19,-60,14
-16,-61,9
-19,-68,2
-18,-72,6
-20,-74,11
-12,-55,15
-20,-50,10
-31,-52,4
-35,-55,6
-29,-59,14
-25,-58,17
-19,-57,20
-9,-60,24
-21,-61,16
-21,-60,19
-22,-66,13
-21,-69,11
-23,-84,8
-22,-87,6
-22,-76,4
-20,-69,1
-18,-60,0
-21,-63,-3
-26,-67,-8
-17,-63,-8
-14,-57,-9
-19,-57,-7
-20,-57,-7
-20,-59,-5
-17,-61,-3
-19,-62,-5
-21,-65,-5
-23,-63,-1
-24,-63,1
-21,-64,8
-18,-64,10
-16,-60,13
-15,-56,13
-17,-55,11
-15,-59,11
-18,-57,15
-21,-48,16
-19,-50,17
-22,-62,20
-22,-69,19
-27,-78,17
-29,-77,16
-19,-66,14
-20,-61,11
-22,-60,7
-22,-60,7
-22,-59,8
-20,-58,9
-16,-57,9
-14,-58,8
-13,-63,9
-11,-63,9
-10,-61,7
-3,-61,10
-1,-62,13
-9,-64,9
-8,-64,8
-15,-73,1
-13,-78,3
-15,-76,6
-12,-69,7
-14,-64,6
-15,-61,5
-18,-60,0
-14,-61,1
-13,-66,3
-13,-64,5
-18,-54,0
-21,-55,3
-21,-55,4
-20,-58,4
-19,-58,3
-16,-56,5
-17,-56,5
-14,-60,10
-19,-64,7
-19,-68,6
-22,-69,5
-19,-69,7
-19,-76,7
-15,-76,8
-12,-67,9
12,-45,9
4,-42,15
-23,-70,12
-21,-76,9
-10,-69,13
-5,-64,13
-11,-57,10
-13,-57,6
-16,-56,4
-16,-55,7
-23,-56,5
-22,-54,7
-23,-52,11
-20,-57,16
-19,-58,16
-18,-66,17
-17,-67,18
-16,-67,16
-16,-67,14
-20,-83,13
-23,-87,13
-24,-69,10
-24,-66,8
-21,-63,7
-19,-65,1
-18,-70,-1
-17,-76,-3
-16,-70,-2
-16,-63,1
-19,-60,0
-19,-57,-4
-18,-56,-7
-13,-54,-6
-16,-52,-8
-12,-55,4
-15,-52,7
-16,-51,8
-16,-51,8
-14,-58,12
-11,-63,14
-18,-66,7
-21,-70,1
-14,-78,4
-16,-81,1
-18,-75,5
-16,-67,13
-12,-66,16
-8,-67,14
-10,-69,13
-15,-71,12
-17,-65,14
-17,-55,10
-18,-50,10
-13,-50,14
-14,-50,10
-18,-56,15
-21,-58,15
-17,-58,15
-17,-56,18
-24,-59,17
-17,-65,17
-20,-67,16
-25,-68,15
-19,-70,13
-14,-77,12
-16,-84,15
-20,-72,7
-18,-64,4
-17,-64,4
-15,-62,6
-16,-69,2
-15,-74,-1
-12,-71,2
-17,-65,2
-16,-54,0
-13,-53,-2
-16,-56,2
-19,-58,1
-15,-57,1
-10,-56,5
-15,-57,6
-15,-60,8
-16,-65,4
-10,-64,8
-12,-63,5
-13,-75,2
-14,-77,4
-13,-64,13
-14,-61,11
-13,-59,10
-15,-62,9
-17,-72,5
-17,-73,11
-18,-62,10
-11,-55,11
-13,-55,11
-16,-57,10
-17,-59,8
-36,-60,7
-14,-61,17
-18,-64,17
-16,-62,20
-19,-65,17
-19,-65,16
-18,-72,16
-17,-74,15
-17,-81,11
-16,-84,15
-22,-75,9
-14,-67,11
-16,-67,4
-15,-70,9
-16,-75,2
-15,-69,-14
-17,-71,2
-12,-65,-5
-11,-59,-4
-13,-57,-4
-13,-56,-5
-14,-53,-7
-14,-54,-5
-12,-55,1
-12,-56,2
-11,-59,3
-12,-59,3
-11,-65,5
-10,-74,3
-14,-75,8
-16,-66,11
-12,-64,11
-16,-69,13
-16,-72,15
-16,-71,12
-14,-70,12
-9,-60,14
-8,-57,15
-11,-56,22
-18,-56,17
-28,-54,5
-24,-55,8
-20,-62,12
-18,-63,13
-14,-63,19
-17,-63,19
-27,-67,19
-25,-68,18
-22,-70,14
-20,-69,12
-18,-81,16
-26,-79,10
-26,-64,5
-11,-62,6
-16,-61,1
-22,-65,-1
-18,-74,-6
-21,-79,7
-19,-69,7
-16,-60,0
-21,-58,-1
-22,-56,-5
-20,-55,-5
-21,-56,-4
-16,-54,-1
-12,-54,4
-12,-51,8
-15,-56,10
-7,-60,11
-10,-61,14
-14,-62,14
-14,-59,14
-21,-73,6
-6,-76,14
-13,-75,3
-13,-71,7
-20,-66,17
-20,-66,20
-18,-69,14
-16,-69,15
-17,-66,11
-18,-62,13
-17,-55,13
-17,-52,13
-20,-54,13
-20,-55,14
-19,-58,24
-19,-61,19
-11,-60,20
-14,-64,21
-23,-67,12
-20,-65,19
-24,-63,15
-23,-72,9
-24,-82,6
-18,-77,5
-14,-61,10
-15,-60,6
-23,-59,8
-22,-71,3
-21,-79,0
-25,-73,-13
-28,-72,-12
-26,-63,-14
-25,-59,-13
-22,-58,-15
-18,-57,-9
-18,-55,-12
-17,-54,-11
-20,-52,-10
-18,-53,-3
-17,-59,-1
-14,-64,7
-18,-65,6
-16,-64,15
-14,-64,18
-13,-65,21
-12,-72,20
-15,-89,21
-15,-84,22
-13,-64,15
-5,-56,18
-13,-65,15
-12,-57,16
-14,-54,13
-12,-54,12
-13,-55,13
-17,-53,14
-20,-57,14
-25,-60,9
-21,-59,7
-15,-61,11
-17,-56,15
-17,-61,16
-16,-61,16
-17,-59,16
-15,-61,19
-20,-62,13
-18,-63,15
-16,-64,19
-12,-66,20
-14,-71,18
-18,-91,16
-18,-86,15
-16,-70,7
-17,-65,4
-15,-59,3
-12,-62,1
-9,-73,-2
-16,-76,-4
-18,-67,0
-24,-65,-4
-23,-58,-7
-16,-57,-8
-17,-58,-11
-15,-60,-8
-13,-60,-1
-13,-56,0
-18,-51,1
-25,-48,6
-26,-47,7
-23,-50,11
-25,-53,11
-20,-61,10
-22,-64,9
-23,-66,7
-19,-65,10
-15,-81,5
-17,-79,4
-20,-62,1
-17,-59,-1
-14,-67,3
-16,-70,3
-17,-77,12
-18,-77,15
-17,-63,20
-20,-55,10
-26,-55,8
-25,-57,8
-21,-55,15
-6,-52,23
-10,-54,20
-14,-62,13
-13,-63,11
-16,-71,7
-18,-71,6
-15,-65,8
-24,-64,-4
-7,-67,7
-5,-79,9
-3,-87,19
4,-77,22
-14,-59,7
-20,-56,2
-23,-61,-1
-15,-70,-7
-18,-74,-8
-6,-64,-3
-8,-61,-3
-12,-57,-6
-12,-56,-6
-18,-59,-5
-19,-62,-10
-11,-60,-8
-16,-60,-1
-20,-50,6
-19,-48,3
-22,-50,2
-23,-51,3
-19,-51,3
-17,-56,3
-20,-62,5
-18,-77,9
-20,-90,3
-21,-77,3
-27,-77,3
-6,-68,16
-20,-70,8
-18,-68,19
-18,-72,14
-12,-57,7
-15,-55,8
-18,-49,11
-16,-46,12
-14,-46,7
-16,-49,7
-18,-62,7
-18,-63,7
-20,-67,15
-23,-67,23
-17,-63,27
-12,-68,20
-15,-70,17
-20,-71,15
-23,-71,14
-18,-75,13
-18,-74,12
-19,-63,7
-16,-63,8
-16,-59,3
-21,-56,5
-21,-66,5
-22,-73,0
-18,-72,-1
-15,-69,3
-21,-63,-4
-15,-57,-4
-15,-58,-2
-11,-57,-1
-11,-55,3
-17,-53,-2
-8,-53,3
-12,-56,10
-19,-59,9
-18,-61,11
-2,-60,12
-9,-71,11
-14,-83,9
-16,-71,12
-13,-62,11
-15,-61,11
-17,-65,12
-15,-65,13
-16,-71,11
-17,-67,9
-13,-64,13
-16,-58,8
-12,-57,12
-15,-57,13
-21,-55,16
-29,-54,5
-19,-54,10
-21,-59,13
-18,-66,14
-19,-70,16
-20,-71,17
-21,-68,18
-19,-78,16
-22,-88,19
-27,-88,12
-12,-72,12
-18,-66,4
-17,-62,1
-15,-68,-1
-17,-79,-13
-25,-77,-19
-26,-64,-21
-23,-63,-17
-10,-58,-11
-8,-57,-8
-12,-52,-7
-18,-56,-14
-14,-54,-9
-17,-53,3
-18,-49,-1
-25,-54,9
-20,-58,2
-19,-60,4
-15,-60,9
-14,-60,12
-6,-72,4
-4,-77,10
-10,-69,12
-12,-70,19
-12,-71,24
-5,-68,12
-6,-74,9
-10,-80,5
-19,-71,8
-31,-57,15
-28,-47,13
-13,-42,8
-15,-41,6
-22,-48,12
-26,-54,4
-12,-56,19
-17,-60,18
-17,-70,17
-15,-72,15
-12,-72,15
-14,-69,10
-13,-68,7
-16,-71,5
-20,-74,7
-26,-69,11
-25,-58,10
-23,-56,7
-23,-59,5
-24,-72,-6
-24,-80,-10
-20,-72,-10
-18,-65,-7
-14,-61,1
-15,-62,2
-17,-60,-3
-18,-63,-7
-18,-64,-11
-16,-61,-5
-16,-58,-4
-16,-60,0
-18,-62,6
-16,-65,9
-14,-63,13
-13,-68,11
-9,-74,3
-13,-72,19
-20,-66,19
-7,-49,27
-16,-55,27
-18,-59,22
-19,-63,19
-28,-62,19
-27,-60,16
-21,-54,10
-19,-53,8
-17,-61,12
-18,-61,17
-19,-60,17
-20,-59,13
-19,-58,16
-22,-59,15
-22,-61,14
-24,-66,14
-22,-69,14
-21,-70,14
-21,-69,13
-23,-81,13
-26,-89,13
-17,-76,11
-11,-71,9
-12,-69,2
-10,-68,2
-12,-70,-1
-15,-67,-2
-15,-63,-1
-22,-61,-1
-17,-61,-3
-15,-60,-1
-18,-59,-2
-9,-51,-2
-13,-56,-2
-25,-50,-3
-15,-50,2
-22,-52,3
-17,-54,7
-15,-59,12
-13,-61,14
-8,-61,11
-8,-60,9
-10,-74,8
-13,-85,7
-21,-78,10
-18,-70,15
-19,-71,14
-22,-75,12
-21,-80,10
-22,-76,10
-18,-67,12
-9,-54,16
-11,-52,13
-15,-52,11
-16,-54,9
-18,-59,11
-22,-64,8
-16,-65,7
-14,-60,8
-9,-58,8
-8,-59,8
-8,-63,11
-14,-71,3
-16,-71,2
-20,-80,5
-22,-83,5
-25,-71,2
-20,-61,5
-26,-60,6
-30,-60,5
-11,-63,-1
-7,-66,0
-11,-70,4
-12,-67,4
-14,-60,1
-17,-58,-1
-14,-55,-2
-13,-58,0
-15,-58,-1
-14,-58,-1
-15,-56,2
-13,-57,4
-12,-58,5
-11,-62,5
-11,-62,5
-11,-71,2
-13,-77,1
-16,-65,7
-18,-59,6
-18,-63,7
-16,-65,10
-16,-75,6
-16,-76,5
-11,-66,10
-10,-60,13
-14,-53,11
-16,-51,11
-18,-54,7
-21,-58,9
-19,-58,12
-20,-62,13
-21,-63,13
-22,-65,13
-21,-66,15
-18,-68,16
-17,-69,15
-15,-68,12
-11,-71,12
-9,-87,11
-16,-86,4
-20,-65,0
-20,-68,0
-19,-67,-3
-20,-71,-5
-15,-79,-6
-13,-68,-4
-15,-64,-8
-11,-56,-9
-8,-55,-3
-11,-56,-1
-14,-55,-6
-10,-55,1
-16,-52,-2
-15,-50,3
-18,-52,3
-19,-56,5
-16,-62,5
-15,-66,7
-17,-67,6
-15,-86,1
-16,-82,4
-19,-60,9
-17,-60,8
-18,-64,8
-14,-70,9
-20,-68,7
-17,-58,11
-16,-55,9
-21,-53,10
-25,-55,7
-20,-59,8
-21,-64,10
-7,-62,24
-11,-57,20
-13,-57,21
-13,-65,22
-6,-76,16
9,-76,21
-8,-67,3
-34,-75,-4
-35,-86,-2
-28,-91,1
-14,-70,3
