mean_value,standard_deviation,coefficient_of_variation,abs_mean_value,num_of_zero_crossings,amplitude,AC_velocity,sum_per_component,mean_crossing_rate,entropy,IQR,skewness,kurtosis,f_energy,f_entropy,f_bin_1,f_bin_2,f_bin_3,f_bin_4,f_bin_5,f_bin_6,f_bin_7,f_bin_8,f_bin_9,f_bin_10,f_skewness,f_kurtosis,f_max_1,f_max_2,f_max_3,f_max_4,f_max_5,f_max_6,f_max_7,f_max_8,f_max_9,f_max_10,subject,tag,position,height,weight,gender,age,direction
0.0,0.16245142180880787,0.16245142180880787,0.11404797027997923,28.0,1.0602431015567142,-0.2028104599397672,0.7642773905488958,22.0,2.3782046729583044,0.1524961738108913,1.9372926295739485,5.1706432928388555,13.407138875963,4.278758969538197,0.02343798379239619,0.39989584676402884,0.1414797749945671,0.15935214998541425,0.2437067865289102,0.005920322628910803,0.013597327922952726,0.0009372569178767647,0.0019185843257640862,0.009753966139179181,3.691467226485481,14.415302602913027,1.21875,4.671875,1.421875,2.4375,3.25,3.453125,2.234375,1.015625,4.875,3.859375,1,0,1,180.0,82.0,0.0,25.0,0.0
-3.122502256758253e-17,0.15719834416051004,-5034370874201116.0,0.11468690898098372,22.0,0.9198009529688697,-0.13658822498503265,0.7012006999683369,18.0,2.4163065658359453,0.17220912960900134,1.8775932526556647,4.756984530598243,12.554016661771097,4.266924075066619,0.06602831158988608,0.06904363518736265,0.5930670862882231,0.12615614198501604,0.09416070348114151,0.004885754479649861,0.011775237573289767,0.00812641606000258,0.0017468846526370737,0.025009828702791517,4.468384389400621,25.279871772926235,2.234375,2.03125,3.046875,1.21875,0.203125,4.46875,3.859375,4.875,4.0625,3.25,1,0,1,180.0,82.0,0.0,25.0,0.0
-2.42861286636753e-17,0.16626701920843925,-6846172212581761.0,0.11728056204266188,34.0,1.0367653301402902,-0.18607569458631512,0.7634569231040351,26.0,2.389922959870287,0.16220844720581842,2.0925753207284403,5.805570728142989,14.044110320695728,4.382006436404139,0.04453069032090373,0.16126234801294725,0.01859353719361413,0.12107255202449627,0.5870548420824526,0.024942406485167486,0.015668209862124187,0.0032929142962483584,0.00674112935966319,0.016841370362382865,4.523881439401218,25.21165722868251,4.46875,4.265625,1.421875,1.21875,3.046875,0.8125,3.859375,3.25,1.625,3.453125,1,0,1,180.0,82.0,0.0,25.0,0.0
1.8214596497756474e-17,0.17067231056037588,9370084623142648.0,0.1092963647616186,34.0,1.2414745472414475,-0.0743139512083667,0.6123883623424892,20.0,2.3475936958025403,0.15508577574220844,2.749216318951598,10.617977912249268,14.798228194604848,4.28494957146331,0.18342218672997163,0.014821971690347893,0.2449122179348654,0.03624901246624776,0.43811334511850986,0.015250078264261916,0.014760942332403815,0.0169408411555903,0.005068829693930491,0.03046057461387099,4.136857048773085,19.77940468764497,4.671875,2.234375,0.8125,2.4375,4.875,0.609375,4.46875,3.25,9.34375,5.6875,1,0,1,180.0,82.0,0.0,25.0,0.0
-2.949029909160572e-17,0.13065637171040664,-4430486489965691.5,0.0954661724636332,20.0,0.9573502974031926,-0.15819406599638766,0.6281813765865818,22.0,2.4784283273917835,0.15528985833250364,1.9685461535519277,7.119588283778727,8.672571526591087,4.209564632838985,0.21782741460796046,0.05003832418173676,0.5838051959323212,0.022102924399652817,0.10849541250026938,0.006674366531861652,0.002577356244945545,0.0006432067480975818,0.0018589871084218053,0.005976811744732685,5.364314189150326,35.76977344065095,2.234375,0.609375,2.4375,4.265625,1.21875,0.8125,4.46875,0.40625,4.875,2.03125,1,0,1,180.0,82.0,0.0,25.0,0.0
1.734723475976807e-18,0.1278965982979023,7.37273692718575e+16,0.09669048842909256,26.0,0.8199560413338494,-0.16478439238773399,0.6407991046540358,18.0,2.494981564399595,0.16015689860242557,1.4835023099533333,3.6640710107351717,8.309834086434108,4.231080669578672,0.21022691965578907,0.47014300159163913,0.051453046943501834,0.15108060684353866,0.0600846916293461,0.014982333633356562,0.006358899164434932,0.015700251769719297,0.004704852334525169,0.015265396434149427,3.118878812759688,10.286596061848668,1.828125,1.625,3.65625,0.0,0.8125,1.421875,0.203125,4.671875,4.46875,2.234375,1,0,1,180.0,82.0,0.0,25.0,0.0
1.235990476633475e-17,0.1517638904429609,1.2278726520314888e+16,0.09735829802660004,40.0,0.9752542995746827,-0.17831598979669283,0.6576183800814932,24.0,2.3485924721832387,0.14212104271023868,2.654691020700027,9.679054574889124,11.700983783414536,4.296154262911713,0.15238243040049873,0.05826685065531952,0.22732664308758754,0.1415436621108418,0.16968532838953715,0.06980837058375029,0.06826203443862394,0.019611909613461043,0.04727589123097127,0.04583687948940861,2.3356121578136975,5.731354184418878,2.234375,0.8125,3.859375,2.03125,4.265625,6.09375,4.0625,8.125,5.078125,3.046875,1,0,1,180.0,82.0,0.0,25.0,0.0
-4.85722573273506e-17,0.1605455916249315,-3305294018825222.5,0.11477518965710337,32.0,1.0443753250430619,-0.1321839253770915,0.6972310129197541,26.0,2.4145574923426785,0.17927729611775273,2.1570936362673385,6.413527640243103,13.094267080418565,4.300904712920297,0.034695197969060086,0.06684070803023198,0.237228301038439,0.06587113484044113,0.429492859175277,0.060045895777838545,0.03523155507793013,0.019059360442102845,0.021264971833009533,0.030270015815669835,3.466446302285008,14.447332541358893,4.46875,2.234375,4.671875,2.4375,5.6875,1.21875,4.265625,3.65625,1.015625,3.453125,1,0,1,180.0,82.0,0.0,25.0,0.0
2.42861286636753e-17,0.18238024597842367,7509646700143253.0,0.13092940669399006,28.0,1.2011869995901687,-0.17419817975091628,0.8187737203982521,20.0,2.3948051975319955,0.1825292856254171,1.923252451149218,5.018483391196636,16.898264636252208,4.259089537677919,0.03976724666998349,0.02779424152644554,0.6530791460906222,0.08561222197890077,0.12302319811015916,0.0010663382589782254,0.02350507600061409,0.004174361545271019,0.01957605672029849,0.022402113098727007,5.284643781325764,36.93615976249325,2.234375,2.03125,4.46875,2.4375,3.25,4.671875,4.0625,3.453125,0.8125,0.0,1,0,1,180.0,82.0,0.0,25.0,0.0
-6.201636426617085e-17,0.1721678800819154,-2776168550335847.5,0.12969118784691286,30.0,0.9358153202129518,-0.22818483396206737,0.8666645279776382,22.0,2.47672053028386,0.18429805925985565,1.269433384140613,2.1532558271828703,15.05876662537919,4.314241613888337,0.0011628543083545765,0.10336417208488366,0.31283768913326887,0.111907905957222,0.41424997451202045,0.020092895673386565,0.021010016711824404,0.0017723235109500927,0.0011892281229325004,0.012412939985157011,3.706037528382263,15.043010897184523,2.4375,4.875,4.0625,3.859375,1.421875,4.671875,4.265625,1.21875,5.078125,2.640625,1,0,1,180.0,82.0,0.0,25.0,0.0
-4.7704895589362195e-18,0.1533428686425722,-3.2144052879295356e+16,0.10208391612062924,42.0,1.011690709929769,-0.18176742920097871,0.6843344008717689,18.0,2.3687438330349515,0.13700152079246197,2.1402320184791286,6.825054781106045,11.945204904553055,4.3448969721560715,0.0321924150763327,0.030068223130097885,0.5586109894362142,0.13633018252346676,0.17479890001874598,0.0096402971927891,0.017937233848275468,0.004986529326700971,0.004872303323018825,0.030562926124358156,3.988786674065717,19.367690729829338,2.234375,2.4375,4.46875,4.671875,3.65625,3.453125,2.03125,2.84375,1.421875,0.8125,1,0,1,180.0,82.0,0.0,25.0,0.0
3.122502256758253e-17,0.15420561768067265,4938527020978592.0,0.11281115613906302,34.0,1.008671360108356,-0.1565308464065585,0.7119088458604075,16.0,2.460548503221717,0.1753494725951062,1.790153777784722,5.647284120251223,12.080529856859277,4.318094603731176,0.00928411581666989,0.5570334890324075,0.37746608994714453,0.015259838826471285,0.023106223493265802,0.0010562745487907622,0.0040753931224766825,0.0044686301552178676,0.004539769017118729,0.003710176040436863,3.7367533557514165,14.236307589248813,1.625,2.234375,1.421875,2.4375,1.828125,1.21875,2.640625,2.84375,1.015625,4.46875,1,0,1,180.0,82.0,0.0,25.0,0.0
-1.8431436932253575e-17,0.15776822695846626,-8559735604899268.0,0.10999305195843218,36.0,1.0978182593721337,-0.16167097022995594,0.7031752260253143,22.0,2.3724804305875393,0.15225027627525195,2.0305839592219472,6.104826879551622,12.644428434212106,4.34119536044913,0.13719325774045033,0.2068117642529301,0.23201722333278366,0.1033448681613157,0.23059029050581983,0.03222943473064954,0.015562748024994934,0.00506098989912737,0.009652927985782274,0.027536495366146177,2.634135581888888,6.721260990384138,4.46875,0.609375,2.84375,1.625,2.234375,1.828125,3.859375,1.21875,4.875,4.0625,1,0,1,180.0,82.0,0.0,25.0,0.0
2.7755575615628914e-17,0.1515808471058997,5461275572341072.0,0.10412586691670464,32.0,1.1000556379484578,-0.17690610533671414,0.6895257578497218,22.0,2.3951691933145183,0.14326305155677463,2.394949934124234,9.262523401847927,11.672846921582787,4.332572456233169,0.03140461887066608,0.17656508863187617,0.4066591510036066,0.024350250388452392,0.2972357162075326,0.022512935361063365,0.01737978976307704,0.002736418403648555,0.007064457607373067,0.014091573762704084,4.2923585443905345,21.684577296829925,2.234375,4.265625,4.46875,1.421875,1.21875,1.625,2.03125,0.609375,6.09375,0.40625,1,0,1,180.0,82.0,0.0,25.0,0.0
-1.734723475976807e-17,0.1471731710362055,-8483955689441144.0,0.10384554803804727,26.0,1.0894048462852874,-0.1342080917199148,0.6454477128303012,18.0,2.371856123890983,0.13016305493202568,2.281736486721808,8.841077671815434,11.003715331338702,4.361591563752495,0.03785156250276343,0.41591013829075546,0.10904981491633718,0.1322518009640712,0.23597132527383496,0.02104710567611776,0.01292806964682214,0.00921905375867287,0.011925166040379784,0.013845962930245146,4.366766480043295,23.777342435219495,1.21875,4.671875,3.453125,2.234375,4.46875,2.03125,3.25,1.421875,0.203125,5.890625,1,0,1,180.0,82.0,0.0,25.0,0.0
-3.469446951953614e-18,0.14867631144842244,-4.285302917362785e+16,0.10152076732545129,38.0,0.9614048808767721,-0.1942477293607948,0.6940422761937858,24.0,2.3945414082284877,0.1381486206464434,1.8735160891504603,5.375639258111709,11.22827612577373,4.450635047177791,0.06670005830842336,0.17794133832827286,0.3261103678958184,0.03296414097863991,0.09970337227509109,0.04138275741628218,0.059083001780977834,0.020452600435282665,0.025645188321669322,0.1500171742595425,2.92332466513597,11.932887574405875,2.03125,4.0625,1.015625,9.546875,1.21875,2.84375,1.828125,5.484375,0.8125,0.609375,1,0,1,180.0,82.0,0.0,25.0,0.0
0.0,0.16602552868267748,0.16602552868267748,0.10633177527905688,34.0,1.0789172610847508,-0.1980640349013275,0.7215435439674537,20.0,2.273586985286378,0.12574990968733762,2.4833507467105687,7.66080380509395,14.003052154301603,4.305714537625635,0.07176991318065526,0.07005859284637679,0.21243675682396418,0.3844228024244176,0.07018151174939168,0.13074059510525615,0.0138839036109843,0.01327420414098336,0.00876849913286332,0.024463220985107188,3.3762144213581458,12.60811504184003,3.453125,2.03125,3.65625,5.6875,0.203125,5.484375,1.015625,1.828125,4.0625,2.234375,1,0,1,180.0,82.0,0.0,25.0,0.0
-1.0408340855860843e-17,0.15831183735885884,-1.5210093477070832e+16,0.10434430689433302,38.0,1.1629557750334438,-0.14818589704135385,0.661880946367301,20.0,2.3450888466574837,0.1587145992186348,2.610585526735196,9.622415941649846,12.73243675394215,4.366981240567567,0.03392112869202187,0.154489815617953,0.4944053621383591,0.05010549347672929,0.1157220003416695,0.039268584408761194,0.0013269056543347738,0.039263694082700376,0.010280265727646811,0.06121674985982413,4.910887104084507,32.43651360259749,2.03125,1.828125,4.0625,1.21875,7.71875,3.65625,3.859375,5.6875,5.890625,2.234375,1,0,1,180.0,82.0,0.0,25.0,0.0
1.5178830414797062e-17,0.1093723347352882,7205583812878411.0,0.07853469608547835,28.0,0.7593399352238102,-0.094724618793519,0.4813569687527971,22.0,2.4159948444166823,0.10799146690311553,1.7642348383143533,4.99919921518902,6.077204441799906,4.231736235733002,0.16357317186492645,0.39378292555923233,0.2905937373070369,0.03172726982964815,0.06888100718429162,0.027813295567237942,0.008298464652341766,0.009963554715034892,0.003401893279111805,0.00196468004113806,3.6031470026264008,13.817457870565438,1.625,2.03125,1.421875,0.609375,2.234375,4.0625,0.40625,4.265625,5.890625,2.84375,1,0,1,180.0,82.0,0.0,25.0,0.0
1.734723475976807e-18,0.13225736369786414,7.624117937493826e+16,0.09525253111875448,26.0,0.8733683246118906,-0.13889246228329022,0.6078280000986969,16.0,2.414039420750708,0.1459837050188492,1.9690625236067325,5.654043999287309,8.886481993087092,4.223101509689012,0.2625563161649134,0.10814577681647647,0.26835251767857665,0.11314922269654071,0.20882986294167,0.012934578643011776,0.006727595677281243,0.00439031715062741,0.0056600601175055215,0.009253752113396853,2.9670759879258655,9.49701239240743,2.234375,0.609375,4.46875,0.40625,3.25,1.828125,4.875,1.21875,2.84375,4.265625,1,0,1,180.0,82.0,0.0,25.0,0.0
-1.691355389077387e-17,0.13465547939153316,-7961394764289369.0,0.09214596430896083,32.0,0.9879586270302592,-0.1713363945262178,0.6249780649703325,18.0,2.427419743806058,0.14237736266848294,2.409570183848927,9.777940576076,9.211563437365363,4.25970570147093,0.08413251578954911,0.13691554856415472,0.6417118315289826,0.008716647706893906,0.05461692079999881,0.03651577490176862,0.01588047439239379,0.008197447957649488,0.0028808834462866447,0.010431954912322322,5.359153870421968,36.14807427228949,2.03125,2.234375,1.625,0.40625,4.0625,0.203125,1.828125,5.28125,4.265625,1.421875,1,0,1,180.0,82.0,0.0,25.0,0.0
-5.204170427930421e-18,0.1291229120864116,-2.4811430346980548e+16,0.09340101621877886,34.0,0.8228446301219081,-0.18817552308760283,0.6479959106262063,18.0,2.4539196546788378,0.1471903716218375,1.6568905521911803,4.483682770439467,8.47023233974391,4.3092817396026675,0.18340700475871047,0.17652956466251402,0.48508749227351006,0.09091330134508552,0.02401250854870789,0.014888866373728516,0.009147089668632187,0.0023658450126035468,0.009187125808768504,0.004461201547739395,4.081151385999256,20.253783857469994,2.234375,1.21875,2.03125,0.0,0.203125,3.046875,1.421875,2.640625,3.453125,3.859375,1,0,1,180.0,82.0,0.0,25.0,0.0
-2.42861286636753e-17,0.14172061298200236,-5835455084036243.0,0.1014646063906153,38.0,0.8743002048300907,-0.1586828957165075,0.6582009579472289,22.0,2.4375267342417644,0.1521265440970291,1.7858057078403404,4.895879591861897,10.19995959921823,4.489842739515427,0.2788747316691113,0.03739375103284354,0.40799915866340336,0.1003684802724223,0.06862010056081626,0.019943236630499652,0.052568412469864254,0.0033971144194048486,0.007725108213046808,0.023109906068587482,2.835995912899028,8.590714580799638,2.234375,0.8125,0.609375,2.84375,2.03125,2.640625,3.046875,3.859375,6.09375,4.671875,1,0,1,180.0,82.0,0.0,25.0,0.0
-1.3877787807814457e-17,0.16900782132374587,-1.217829697818114e+16,0.1295640932002714,28.0,0.9141741206802898,-0.13439987774878154,0.7722538750424254,18.0,2.4568381898953904,0.18893852570726427,1.1925371725833132,1.2895389316572734,14.510936384077295,4.23029911498258,0.007751956641595254,0.11959991092029816,0.7178194527367412,0.04459556875322159,0.08365511330165815,0.0017972252521135561,0.005064594563925273,0.001477620064570937,0.0051003261771288165,0.013138231588746907,5.166237140279993,30.46241420378717,2.234375,2.03125,1.625,4.0625,3.859375,1.828125,2.4375,4.671875,1.015625,4.46875,1,0,1,180.0,82.0,0.0,25.0,0.0
1.3877787807814457e-17,0.1362711513802272,9819371305237434.0,0.1055572032348269,24.0,1.0029818757996802,-0.16444196663736835,0.6841081979472855,18.0,2.5239793271555073,0.18436752353913666,1.394501834721743,4.370229996684397,9.433956014959968,4.238051484099378,0.09087134498649332,0.09356024606638431,0.6026577221134986,0.10623646776965637,0.05124913054858473,0.01843117852810956,0.011507194315827444,0.003861673356913123,0.01414437363082644,0.007480668683706388,4.376058913812548,23.830627166983486,2.03125,2.234375,3.25,0.0,3.046875,1.828125,1.421875,0.609375,4.46875,1.625,1,0,1,180.0,82.0,0.0,25.0,0.0
1.1275702593849246e-17,0.15112533100928607,1.3402741847033376e+16,0.09950267781482022,30.0,1.1580032971254097,-0.17853664533808358,0.6683959822725831,20.0,2.3640062717982144,0.14377991065692058,2.6228850608283794,10.474110274187973,11.60282234065432,4.242285146754983,0.03884801845648638,0.017062481116000908,0.46189493097864154,0.13485646538115215,0.21568033097408384,0.021241079888360045,0.019381398703356027,0.026446435691736655,0.03419845672896463,0.030390402081217835,3.926650179558459,19.103459427549154,2.03125,2.234375,4.46875,3.25,4.671875,4.265625,3.453125,0.609375,8.9375,8.734375,1,0,1,180.0,82.0,0.0,25.0,0.0
1.734723475976807e-18,0.13503886746245677,7.784460712761013e+16,0.09340941491298509,32.0,1.1339310901758446,-0.10105080047535347,0.5609125354315878,24.0,2.488383565873221,0.1489283577686531,2.20626597710641,10.36872575657673,9.263619838732266,4.246231425500345,0.12364534778030117,0.23836311962122914,0.3796232686893873,0.01584536729110738,0.16934745265790493,0.040772751910036695,0.006476431904196731,0.0038093500853105373,0.007218798540831447,0.014898111519694834,3.51711482766205,14.791763530751652,2.234375,4.46875,1.828125,0.609375,1.625,2.4375,1.421875,0.8125,2.640625,4.265625,1,0,1,180.0,82.0,0.0,25.0,0.0
