x,y,z
-28,63,7
-26,50,2
-28,58,-1
-32,72,-5
-31,83,-3
-22,93,-5
-9,81,-2
-11,75,1
-18,72,5
-20,72,5
-18,68,5
-15,62,7
-11,55,7
-11,54,9
-11,50,10
-10,47,9
-12,53,9
-14,56,8
-15,57,7
-17,57,7
-17,65,8
-14,73,5
-16,88,6
-19,79,9
-22,74,13
-21,50,16
-21,50,11
-26,66,13
-24,70,16
-18,74,11
-19,75,12
-23,67,16
-24,62,14
-26,51,15
-24,49,17
-22,50,12
-23,51,12
-27,57,14
-26,57,16
-26,55,15
-29,54,16
-31,53,13
-30,59,9
-28,63,7
-27,83,9
-25,84,8
-23,86,6
-24,78,6
-22,66,5
-22,68,5
-17,85,7
-12,87,4
-7,86,3
-7,79,4
-12,71,5
-12,65,3
-16,56,5
-17,53,6
-18,52,6
-17,48,7
-18,47,9
-19,45,7
-19,47,6
-23,57,6
-25,62,6
-20,76,2
-21,82,3
-25,70,2
-26,70,2
-30,68,4
-31,66,5
-29,63,8
-26,65,9
-21,66,8
-23,66,9
-26,61,12
-26,55,12
-27,54,13
-24,53,14
-24,52,14
-26,55,17
-25,55,17
-26,53,17
-26,51,17
-25,51,16
-24,50,14
-26,52,15
-24,54,14
-24,57,14
-24,57,11
-23,63,9
-26,68,9
-23,78,7
-22,86,7
-19,83,9
-21,63,4
-22,57,5
-24,63,4
-23,66,4
-22,71,2
-20,73,2
-16,74,1
-16,73,1
-17,65,-1
-18,61,0
-22,55,0
-22,52,0
-22,51,1
-25,52,2
-24,51,2
-25,52,2
-27,58,2
-27,59,1
-27,60,1
-25,63,2
-23,70,1
-23,79,2
-22,75,3
-25,73,7
-26,67,9
-21,57,10
-20,57,10
-20,59,12
-19,60,10
-20,62,14
-21,60,13
-22,57,13
-23,55,13
-21,54,14
-22,55,14
-24,58,14
-27,55,15
-26,53,15
-26,48,13
-26,48,14
-29,49,14
-29,51,14
-28,55,14
-28,58,13
-28,67,8
-30,76,9
-26,87,9
-23,93,6
-22,78,3
-25,65,2
-24,44,-1
-25,54,0
-24,63,-1
-21,67,-3
-18,68,-2
-15,67,-5
-17,68,-5
-21,67,-5
-22,65,-5
-22,62,-6
-20,62,-4
-23,61,-1
-25,59,-1
-29,56,3
-29,55,3
-26,56,5
-25,57,5
-26,55,3
-26,56,2
-26,61,4
-23,68,4
-18,78,2
-20,67,4
-22,62,3
-25,54,6
-25,53,9
-22,56,7
-23,60,6
-24,69,7
-27,69,7
-28,62,7
-28,60,8
-32,56,11
-32,55,9
-28,53,9
-27,51,11
-25,52,8
-27,51,7
-28,54,8
-41,62,-1
-41,66,-4
-36,73,-1
-31,76,-2
-31,75,-5
-32,72,-4
-29,58,-7
-27,53,-9
-29,58,-10
-29,62,-10
-26,64,-11
-26,61,-12
-26,60,-8
-25,61,-7
-28,56,-9
-29,54,-9
-26,52,-7
