x,y,z
-30,-70,13
-29,-59,16
-28,-57,17
-29,-54,17
-30,-47,17
-34,-39,20
-35,-47,21
-38,-63,21
-40,-71,23
-41,-93,24
-39,-102,21
-33,-71,18
-32,-67,13
-29,-66,6
-27,-70,1
-25,-71,1
-20,-64,5
-19,-63,5
-18,-62,2
-20,-60,0
-22,-59,-3
-23,-57,-2
-25,-51,6
-24,-50,11
-22,-40,18
-22,-40,22
-15,-45,25
-15,-49,23
-16,-51,21
-17,-54,19
-20,-62,14
-23,-73,9
-28,-84,4
-32,-70,13
-29,-56,14
-28,-56,11
-28,-62,12
-34,-75,13
-33,-77,17
-27,-61,19
-26,-56,20
-29,-52,20
-30,-51,18
-29,-50,17
-29,-47,18
-31,-45,20
-30,-45,21
-31,-54,18
-32,-64,17
-31,-72,14
-32,-81,12
-30,-86,12
-25,-63,11
-24,-54,9
-25,-51,6
-26,-56,3
-26,-64,0
-25,-65,-1
-22,-62,1
-20,-61,2
-20,-59,3
-21,-61,3
-22,-60,3
-22,-56,5
-24,-48,9
-25,-46,9
-27,-47,10
-27,-54,13
-26,-58,14
-23,-72,14
-20,-76,15
-16,-84,11
-17,-95,9
-19,-71,17
-19,-66,18
-15,-46,19
-15,-40,16
-18,-49,10
-22,-55,9
-22,-53,11
-22,-54,13
-21,-58,18
-20,-58,21
-17,-60,21
-17,-60,21
-17,-57,26
-18,-55,26
-20,-53,22
-21,-55,18
-21,-57,17
-20,-55,21
-22,-57,22
-25,-63,20
-26,-70,17
-27,-90,13
-25,-84,12
-22,-63,10
-21,-53,13
-27,-44,13
-33,-52,9
-38,-71,3
-35,-73,1
-28,-73,-1
-23,-77,1
-17,-69,5
-17,-52,6
-19,-49,5
-26,-45,4
-29,-42,4
-30,-38,5
-29,-38,6
-26,-47,9
-24,-51,13
-19,-65,13
-18,-76,12
-15,-87,13
-18,-74,17
-20,-73,18
-19,-65,13
-22,-67,0
-24,-72,0
-28,-70,10
-24,-52,17
-24,-47,14
-28,-48,12
-28,-47,13
-30,-45,15
-30,-46,18
-31,-49,20
-36,-62,21
-38,-68,21
-37,-73,15
-29,-90,13
-26,-83,15
-24,-66,14
-24,-62,13
-26,-66,8
-27,-69,4
-26,-70,-1
-25,-68,-1
-25,-58,2
-25,-55,2
-26,-55,-1
-27,-55,-6
-27,-55,-6
-26,-58,-4
-26,-62,-4
-26,-74,-3
-25,-71,0
-27,-70,8
-26,-74,10
-10,-73,15
-7,-60,22
-6,-49,30
-5,-52,29
-4,-60,23
-4,-64,20
-3,-64,22
-6,-63,23
-8,-61,23
-13,-63,20
-16,-64,20
-18,-60,22
-19,-57,25
-19,-50,29
-21,-50,28
-26,-54,31
-31,-52,34
-35,-60,34
-36,-64,33
-37,-76,28
-38,-83,24
-33,-97,22
-30,-82,22
