x,y,z
-18,-66,14
-17,-65,17
-18,-65,17
-17,-68,16
-14,-64,15
-13,-65,14
-10,-67,14
-11,-65,15
-14,-62,18
-14,-64,17
-12,-69,13
-10,-71,14
-9,-66,20
-8,-67,19
-6,-64,23
-7,-60,25
-7,-54,25
-7,-48,26
-4,-52,23
-5,-56,20
-7,-60,21
-12,-61,27
-12,-57,29
-10,-49,29
-8,-49,27
-7,-54,25
-7,-56,25
-11,-52,26
-14,-49,30
-16,-43,38
-14,-49,40
-9,-67,40
-8,-56,37
-9,-52,31
-10,-61,28
-18,-82,30
-22,-71,27
-28,-72,23
-27,-57,23
-27,-58,21
-29,-66,15
-25,-69,14
-17,-72,15
-14,-70,15
-12,-65,19
-15,-64,18
-18,-62,16
-19,-60,17
-18,-59,15
-17,-57,17
-16,-57,20
-14,-57,19
-15,-61,17
-16,-65,17
-15,-68,19
-14,-70,21
-11,-75,21
-10,-79,23
-10,-73,23
-8,-60,26
-9,-44,31
-5,-45,26
-3,-48,23
-7,-49,22
-9,-50,24
-9,-49,29
-8,-47,30
-6,-46,29
-7,-48,27
-8,-52,25
-9,-51,27
-10,-55,28
-10,-56,29
-9,-52,31
-14,-56,34
-15,-67,37
-9,-65,40
-6,-61,37
-4,-60,29
-7,-63,27
-16,-75,28
-18,-73,31
-14,-63,29
-11,-55,25
-13,-50,17
-17,-59,16
-25,-68,17
-22,-74,18
-18,-71,17
-15,-67,17
-13,-61,18
-16,-60,15
-21,-60,13
-21,-60,19
-19,-59,19
-15,-59,22
-13,-57,25
-14,-55,25
-14,-55,25
-12,-58,25
-10,-58,25
-7,-59,28
-6,-63,28
-1,-68,24
-1,-67,25
-8,-65,25
-8,-62,28
-7,-48,30
-7,-45,28
-7,-57,22
-9,-60,25
-7,-63,27
-7,-53,31
-8,-49,32
-9,-47,31
-7,-47,31
-3,-48,30
-5,-47,29
-10,-42,34
-9,-42,36
-6,-53,32
-7,-59,36
-6,-64,35
-8,-69,31
-13,-82,27
-17,-77,26
-26,-72,28
-26,-64,28
-20,-53,19
-21,-63,14
-24,-65,14
-22,-63,21
-17,-63,20
-9,-63,20
-9,-64,22
-14,-60,22
-15,-59,22
-16,-63,22
-14,-63,21
-14,-62,23
-13,-63,23
-11,-64,20
-11,-66,19
-10,-69,17
-10,-68,17
-10,-68,19
-10,-68,19
-11,-64,21
-11,-62,24
-11,-56,25
-8,-42,29
-5,-45,27
-1,-53,23
-4,-54,22
-8,-61,24
-9,-57,27
-7,-50,28
-7,-49,27
-7,-51,24
-7,-53,23
-9,-50,24
-11,-50,26
-10,-50,29
-9,-47,30
-10,-52,35
-11,-59,31
-12,-57,30
-14,-70,29
-15,-87,28
-20,-80,26
-21,-76,25
-16,-54,25
-15,-55,20
-19,-69,17
-23,-73,17
-14,-72,17
-11,-70,16
-10,-62,16
-13,-57,15
-17,-58,13
-16,-58,15
-11,-60,13
-10,-60,14
-10,-58,20
-9,-57,22
-7,-60,19
-9,-63,22
-9,-64,23
-4,-69,20
5,-84,13
-5,-60,17
-27,-73,20
-22,-62,23
-22,-57,26
-17,-45,26
-17,-57,20
-17,-60,16
-17,-62,21
-15,-60,31
-16,-56,31
-15,-52,25
-15,-49,25
-14,-49,25
-11,-47,27
-10,-48,29
-12,-49,33
-14,-44,34
-15,-45,38
-15,-52,39
-17,-58,39
-17,-61,41
-15,-61,38
-15,-66,33
-16,-80,29
-19,-78,34
-17,-63,37
-13,-51,32
-14,-43,22
-17,-51,22
-20,-59,24
-19,-61,25
-19,-59,25
-17,-52,25
-19,-49,23
-19,-49,24
-15,-50,23
-10,-50,25
-9,-51,27
-9,-55,29
-9,-63,26
-11,-72,23
-11,-71,24
-10,-74,24
-7,-76,21
-10,-72,26
-12,-70,28
-9,-58,29
-8,-47,28
-4,-52,24
-5,-58,21
-5,-59,20
-8,-57,26
-10,-52,28
-9,-41,27
-8,-41,26
-5,-46,25
-5,-46,25
-7,-51,28
-7,-52,30
-6,-47,34
-7,-46,35
-9,-54,38
-9,-58,39
-9,-65,36
-11,-61,37
-8,-66,37
-10,-82,31
-15,-78,30
-23,-68,29
-23,-56,28
-25,-53,19
-27,-62,18
-26,-71,15
-22,-76,14
-15,-73,17
-11,-67,20
-15,-62,23
-20,-61,23
-20,-64,19
-21,-61,20
-22,-59,23
-20,-60,24
-18,-53,28
-18,-47,27
-20,-55,23
-18,-51,24
-18,-52,22
-15,-58,22
-14,-63,22
-15,-74,22
-15,-77,26
-10,-64,36
-4,-50,43
8,-41,34
8,-47,27
-3,-53,21
-8,-55,21
-9,-54,25
-9,-48,33
-9,-45,31
-10,-45,29
-7,-45,25
-7,-49,24
-7,-51,25
-10,-51,32
-11,-48,37
-9,-61,41
-8,-66,41
-4,-62,41
-6,-64,37
-13,-86,36
-17,-75,38
-17,-68,30
-15,-66,28
-17,-55,23
-20,-55,19
-27,-66,16
-26,-70,16
-22,-63,17
-22,-61,17
-19,-64,15
-18,-65,11
-19,-66,9
-19,-69,9
-19,-70,11
-18,-68,14
-17,-68,15
-18,-65,17
-19,-67,19
-17,-72,18
-12,-73,18
-2,-74,19
1,-77,20
4,-67,25
2,-59,28
-5,-53,28
-7,-45,30
-2,-36,28
0,-41,23
-3,-47,22
-6,-51,26
-7,-51,29
-6,-54,29
-5,-55,29
-7,-57,31
-7,-57,30
-6,-58,27
-7,-57,27
-10,-54,30
-10,-53,33
-12,-52,34
-13,-57,34
-14,-61,38
-11,-58,40
-9,-59,30
-12,-72,27
-19,-79,30
-19,-74,30
-15,-57,29
-18,-44,20
-22,-54,16
-33,-72,14
-33,-78,14
-22,-67,12
-17,-64,13
-13,-64,17
-17,-68,16
-17,-67,13
-17,-67,14
-14,-68,16
-13,-67,18
-10,-61,21
-10,-59,20
-10,-61,19
-10,-61,20
-10,-64,22
-9,-68,23
-2,-69,24
-1,-63,27
-1,-63,27
-4,-57,29
-5,-50,28
-5,-47,20
-6,-52,17
-11,-60,20
-13,-66,21
-12,-62,27
-11,-57,29
-9,-49,29
-9,-49,29
-7,-53,30
-6,-54,30
-5,-53,26
-7,-52,25
-14,-49,26
-18,-52,29
-19,-59,31
-16,-61,28
-16,-65,27
-18,-83,28
-22,-76,28
-24,-65,30
-22,-59,30
-17,-55,22
-19,-61,20
-21,-71,19
-18,-75,20
-14,-67,18
-15,-63,16
-19,-61,14
-21,-64,14
-18,-65,15
-17,-66,17
-15,-66,17
-15,-65,20
-15,-65,21
-14,-62,20
-14,-65,20
-11,-66,21
-9,-65,22
-5,-66,24
-3,-67,22
-5,-64,22
-7,-61,23
-9,-60,22
-9,-52,24
-8,-46,22
-7,-50,19
-10,-55,20
-11,-59,21
-10,-56,25
-8,-49,28
-8,-48,29
-7,-50,30
-6,-51,30
-4,-54,30
-5,-52,30
-11,-49,30
