x,y,z
-30,53,1
-31,56,7
-32,60,9
-30,68,14
-27,72,15
-25,76,18
-24,73,19
-25,67,15
-25,72,13
-30,84,16
-30,81,20
-28,68,17
-27,66,14
-23,83,10
-21,91,8
-19,91,6
-16,77,5
-16,70,4
-16,57,1
-16,50,-1
-17,46,-1
-16,45,0
-14,44,0
-15,45,0
-20,44,5
-22,43,7
-19,45,6
-20,51,6
-19,64,9
-17,70,11
-17,79,15
-17,89,13
-20,104,8
-31,79,12
-34,66,14
-22,66,12
-17,67,7
-13,65,1
-11,61,-1
-13,54,0
-16,50,0
-20,42,-4
-22,41,-7
-26,41,-7
-28,41,-5
-31,43,2
-33,50,5
-35,64,13
-34,68,14
-29,74,17
-25,78,20
-20,80,22
-23,78,17
-27,87,17
-35,90,20
-34,83,21
-27,64,11
-26,65,7
-23,79,1
-22,87,-1
-20,79,-2
-19,71,-2
-17,59,-1
-17,57,-2
-19,55,-4
-19,54,-5
-17,53,-6
-16,52,-5
-16,49,-3
-22,47,1
-26,49,4
-26,51,5
-26,52,3
-29,61,8
-31,63,12
-35,64,15
-32,70,12
-29,78,8
-28,70,12
-25,59,16
-22,58,15
-19,67,13
-20,69,12
-20,62,10
-17,51,7
-17,47,6
-17,45,6
-19,45,3
-22,46,1
-24,47,1
-25,51,4
-26,55,6
-29,62,11
-30,65,13
-26,75,15
-23,78,15
-19,79,16
-19,72,14
-22,76,10
-28,86,11
-36,83,14
-34,74,13
-32,64,9
-30,69,8
-24,86,5
-21,83,4
-19,67,1
-18,59,2
-18,59,2
-17,56,1
-17,56,0
-16,57,0
-14,56,-1
-14,50,-1
-15,50,-1
-17,53,0
-16,54,1
-17,60,2
-17,66,4
-18,68,8
-20,66,11
-20,80,12
-18,90,11
-18,81,15
-18,60,17
-16,57,15
-16,69,10
-16,71,8
-16,64,7
-15,58,6
-17,48,3
-19,47,3
-23,46,1
-25,47,1
-25,50,3
-24,53,4
-24,54,8
-25,55,9
-26,60,12
-26,65,12
-24,74,13
-21,71,15
-20,68,14
-22,67,10
-25,78,9
-32,77,15
-32,70,14
-32,67,13
-32,72,12
-25,89,11
-21,89,11
-18,76,10
-17,71,10
-17,70,10
-16,69,9
-15,63,7
-14,59,7
-12,50,4
-13,45,3
-18,46,3
-22,44,1
-24,42,0
-28,46,1
-30,49,1
-35,57,4
-36,60,8
-36,65,12
-30,76,10
-26,91,7
-29,79,12
-33,57,19
-32,54,19
-28,69,15
-24,71,11
-16,63,9
-15,56,9
-16,46,8
-18,43,7
-23,42,3
-24,43,1
-24,46,1
-23,54,4
-24,57,7
-27,56,12
-28,57,15
-28,65,20
-27,70,22
-19,73,21
-16,73,19
-18,77,17
-20,84,17
-33,91,20
-36,83,20
-36,65,13
-36,63,10
-34,71,5
-32,77,4
-20,78,2
-16,68,0
-14,64,1
-15,60,1
-17,59,0
-19,55,-3
-19,54,-5
-18,53,-5
-17,52,-3
-15,50,0
-14,47,2
-16,48,7
-18,51,9
-19,63,11
-19,66,13
-18,73,16
-16,87,15
-14,90,16
-21,71,18
-23,67,18
-23,67,14
-21,70,11
-13,64,9
-10,60,9
-10,52,8
-13,49,6
-19,44,3
-21,43,1
-24,45,0
-25,46,0
-24,50,5
-26,51,7
-29,59,12
-30,63,14
-27,76,17
-21,83,18
-19,83,17
-21,78,11
-25,87,13
-38,86,14
-40,83,13
-35,69,7
-32,67,4
-26,78,2
-24,83,1
-19,76,-1
-18,69,-2
-16,63,-4
-17,61,-5
-17,59,-6
-18,59,-4
-13,61,-4
-12,58,-4
-15,57,-4
-16,59,-4
-18,60,-5
-18,64,-3
-17,65,-3
-21,65,2
-23,63,6
-23,75,11
-19,79,12
-18,65,18
-17,60,22
-15,59,25
-14,62,24
-17,68,19
-17,66,18
-15,57,16
-15,53,15
-16,50,13
-17,50,11
-21,50,6
-25,49,6
-26,48,6
-28,49,8
-27,51,10
-26,60,12
-26,68,14
-22,76,15
-21,76,15
-22,70,12
-23,75,10
-33,84,15
-35,75,15
-33,70,9
-33,72,9
-30,85,8
-27,90,7
-20,77,6
-18,64,4
-18,61,3
-18,63,3
-17,63,2
-16,61,1
-14,60,1
-12,58,2
-12,56,2
-12,54,1
-11,55,1
-11,57,0
-11,57,-1
-14,59,1
-16,60,3
-19,76,5
-19,84,6
-17,84,8
-18,82,9
-18,70,11
-21,74,11
-21,77,10
-19,72,7
-19,65,5
-17,53,5
-17,49,4
-20,49,0
-21,50,-2
-24,49,-3
-25,50,-2
-28,52,2
-28,54,5
