x,y,z
-24,60,6
-20,77,0
-22,89,3
-22,68,12
-21,60,7
-18,62,-1
-19,72,2
-18,81,8
-18,71,7
-18,53,3
-19,53,3
-20,55,4
-21,56,4
-22,59,6
-23,60,8
-25,60,8
-26,57,9
-27,51,11
-27,54,11
-27,62,9
-27,71,9
-27,69,10
-28,68,7
-29,80,0
-26,102,9
-26,61,7
-24,55,4
-22,67,0
-20,82,-3
-19,78,-2
-17,67,2
-15,61,2
-15,55,-1
-16,54,-3
-20,52,-3
-20,52,-1
-21,49,2
-24,46,4
-25,46,5
-24,46,7
-25,46,8
-25,55,5
-24,59,6
-24,63,5
-24,68,2
-26,100,4
-26,87,12
-25,66,12
-21,55,5
-20,70,-3
-19,80,2
-16,77,9
-16,64,8
-16,53,5
-15,56,6
-17,56,10
-24,50,8
-22,47,7
-22,46,5
-21,46,6
-21,47,6
-24,51,6
-29,67,7
-31,74,9
-29,69,12
-31,83,4
-25,94,12
-27,50,8
-28,62,8
-27,62,7
-28,69,3
-23,74,2
-16,84,1
-14,76,2
-12,58,4
-15,53,3
-17,54,3
-21,55,3
-20,54,5
-17,50,9
-16,47,10
-18,45,7
-21,47,5
-24,55,5
-24,59,5
-23,65,4
-21,77,0
-21,102,-2
-20,86,2
-11,65,3
-10,69,-3
-14,91,1
-7,53,10
-9,44,7
-13,48,0
-13,51,1
-17,54,4
-20,54,5
-21,54,5
-21,56,5
-24,58,7
-25,60,9
-28,64,13
-29,67,15
-32,68,17
-31,65,16
-31,65,14
-33,82,8
-27,97,17
-27,44,13
-25,60,7
-23,87,-3
-22,92,-4
-19,76,4
-19,66,7
-17,61,4
-19,61,0
-18,60,-3
-18,58,-2
-17,52,4
-16,48,5
-22,43,5
-27,41,5
-28,42,8
-27,43,10
-25,47,10
-25,52,10
-26,57,10
-23,69,0
-21,91,-3
-25,76,7
-26,65,7
-23,65,-4
-26,75,-4
-24,83,6
-19,68,5
-14,51,0
-15,51,0
-17,58,-1
-20,60,1
-22,57,3
-23,55,4
-24,56,6
-24,56,8
-24,56,12
-23,56,13
-22,69,11
-20,82,10
-21,75,12
-22,67,10
-24,80,7
-26,107,10
-26,69,10
-23,49,5
-21,55,0
-19,79,-6
-19,88,-6
-18,73,2
-17,62,3
-15,50,-5
-17,53,-7
-18,54,-6
-19,54,-6
-20,54,-3
-17,52,-3
